,too
1968,0.00027968958602286875
1969,0.0002770399150904268
1970,0.0002709637628868222
1971,0.00025703373830765486
1972,0.0002542032743804157
1973,0.00024233186559285969
1974,0.0002446008147671819
1975,0.00023600771964993328
1976,0.00023153741494752467
1977,0.00022991753940004855
1978,0.0002278003958053887
1979,0.00022473226999863982
1980,0.00022926479869056493
1981,0.00022584135876968503
1982,0.0002291483397129923
1983,0.00022959275520406663
1984,0.0002334008750040084
1985,0.00022825993073638529
1986,0.00023443887766916305
1987,0.00023517635418102145
1988,0.0002377069613430649
1989,0.00023676599084865302
1990,0.00023883621906861663
1991,0.00023888694704510272
1992,0.00023853806487750262
1993,0.00023589968623127788
1994,0.00023922773834783584
1995,0.00023752445122227073
1996,0.00024685548851266503
1997,0.000250668847002089
1998,0.0002562824811320752
1999,0.0002642420877236873
2000,0.00028841241146437824
2001,0.0002881049003917724
2002,0.0002970136993099004
2003,0.0003040208830498159
2004,0.00031620170921087265
2005,0.0003215454635210335
2006,0.00033109920332208276
2007,0.0003475235716905445
2008,0.00037345875171013176
2009,0.00041051467997021973
2010,0.0004302650922909379
2011,0.00046608239063061774
2012,0.00043602517689578235
2013,0.00044284359319135547
2014,0.0005103524890728295
2015,0.0004917457699775696
2016,0.0004597402876242995
2017,0.0004925698158331215
2018,0.0004839828470721841
2019,0.0004967692657373846
