,being
1929,0.0007514171302318573
1930,0.0007467672694474459
1931,0.000734004657715559
1932,0.000726892554666847
1933,0.0007238829275593162
1934,0.0007102913805283606
1935,0.000692232046276331
1936,0.0006878466228954494
1937,0.0006877581472508609
1938,0.0006729130400344729
1939,0.0006576157757081091
1940,0.0006308586453087628
1941,0.0006248041172511876
1942,0.0006341519765555859
1943,0.0006341017433442175
1944,0.0006197225302457809
1945,0.00063131790375337
1946,0.0006418234552256763
1947,0.0006335758371278644
1948,0.0006288005388341844
1949,0.0006139026954770088
1950,0.0006394879310391843
1951,0.0006437557167373598
1952,0.000661519996356219
1953,0.0006274160114116967
1954,0.0006124150822870433
1955,0.0006162214558571577
1956,0.0006251855520531535
1957,0.0006092116818763316
1958,0.0006142253405414522
1959,0.0006078045116737485
1960,0.0006004262249916792
1961,0.000592849450185895
1962,0.0006014708778820932
1963,0.0005919075338169932
1964,0.0005983483279123902
1965,0.0005939378752373159
1966,0.000601495208684355
1967,0.0005999701679684222
1968,0.0006019044667482376
1969,0.0005854254122823477
1970,0.0005708622629754245
1971,0.0005617990391328931
1972,0.0005494546494446695
1973,0.0005366566474549472
1974,0.0005382909439504147
1975,0.0005337750189937651
1976,0.0005168325151316822
1977,0.0005089783226139843
1978,0.000497262051794678
1979,0.0004949827562086284
1980,0.0004954178584739566
1981,0.00048387618153356016
1982,0.00047865736996755004
1983,0.0004776169953402132
1984,0.0004738274437841028
1985,0.0004711181973107159
1986,0.0004684524901676923
1987,0.00046567089157179
1988,0.0004679851408582181
1989,0.00045821195817552507
1990,0.00046206897241063416
1991,0.0004607222508639097
1992,0.00045619698357768357
1993,0.00044535472989082336
1994,0.0004481290525291115
1995,0.00044701670412905514
1996,0.0004572959733195603
1997,0.0004619813116732985
1998,0.0004694100352935493
1999,0.00047510614967904985
2000,0.0004869130498263985
2001,0.00048504708684049547
2002,0.0004918904160149395
2003,0.0004924195818603039
2004,0.000497764500323683
2005,0.0005003669066354632
2006,0.0005145318573340774
2007,0.0005177852581255138
2008,0.0005377462366595864
2009,0.0005532381474040449
2010,0.0005565111641772091
2011,0.0005474278586916625
2012,0.0005344079690985382
2013,0.0005622130702249706
2014,0.0005723664071410894
2015,0.0005712230922654271
2016,0.0005778437480330467
2017,0.0005715719307772815
2018,0.0005710401455871761
2019,0.0005809751455672085
