,real
1889,0.00014034478226676583
1890,0.00014434984768740833
1891,0.00014279017341323197
1892,0.00014554851804859936
1893,0.00014339078916236758
1894,0.00014563070726580918
1895,0.00014826712140347809
1896,0.00014560704585164785
1897,0.00014366248797159642
1898,0.00014865757839288563
1899,0.00014835181355010718
1900,0.000142605000291951
1901,0.0001503071835031733
1902,0.0001455030287615955
1903,0.00014570061466656625
1904,0.0001449070987291634
1905,0.00014743833162356168
1906,0.00015245797112584114
1907,0.00014933287457097322
1908,0.0001447757240384817
1909,0.00015178404282778502
1910,0.00014985984307713807
1911,0.00015279294166248292
1912,0.00015683798119425774
1913,0.00015401330892927945
1914,0.000158053488121368
1915,0.0001637722016312182
1916,0.0001602718111826107
1917,0.0001647385797696188
1918,0.00015941262245178223
1919,0.00016489747213199735
1920,0.00016625470016151667
1921,0.00016492670692969114
1922,0.00016748587950132787
1923,0.000160880372277461
1924,0.00015893825911916792
1925,0.00016186966968234628
1926,0.00015797396190464497
1927,0.00015995721332728863
1928,0.00015375770453829318
1929,0.0001560766395414248
1930,0.00015541147149633616
1931,0.0001685133611317724
1932,0.00015965328202582896
1933,0.00015721304225735366
1934,0.00015476242697332054
1935,0.00015749403974041343
1936,0.0001548620784888044
1937,0.0001506426779087633
1938,0.00014794325397815555
1939,0.00014951363846194
1940,0.00014064494462218136
1941,0.00013789415243081748
1942,0.00013613293413072824
1943,0.00013517918705474585
1944,0.00013471415149979293
1945,0.00013644533464685082
1946,0.00013498024782165885
1947,0.00014024146366864443
1948,0.0001382423215545714
1949,0.00013740031863562763
1950,0.00013488595141097903
1951,0.000136868329718709
1952,0.00013939403288532048
1953,0.00013751941150985658
1954,0.00014024569827597588
1955,0.00013751474034506828
1956,0.00013500075147021562
1957,0.00013934590970166028
1958,0.00013721561117563397
1959,0.0001385899231536314
1960,0.00013960411888547242
1961,0.00014219238073565066
1962,0.000141224023536779
1963,0.000141042226459831
1964,0.00013873014540877193
1965,0.00014003172691445798
1966,0.00014292911509983242
1967,0.00014439260121434927
1968,0.00014806073158979416
1969,0.000152273423736915
1970,0.00014763708168175071
1971,0.00014795773313380778
1972,0.0001482977095292881
1973,0.000146892576594837
1974,0.00015029324276838452
1975,0.0001516881602583453
1976,0.000149028142914176
1977,0.00015102257020771503
1978,0.000150452004163526
1979,0.00015236716717481613
1980,0.00015567800437565893
1981,0.00015609290858265013
1982,0.00015800740220583975
1983,0.0001588602171977982
1984,0.0001607343292562291
1985,0.00015838669787626714
1986,0.00016623134433757514
1987,0.0001643371069803834
1988,0.0001681717549217865
1989,0.00016774206596892327
1990,0.00017178273992612958
1991,0.00017136154929175973
1992,0.00017425518308300525
1993,0.00017369198030792177
1994,0.0001753631077008322
1995,0.0001734660763759166
1996,0.00017269383533857763
1997,0.00017789570847526193
1998,0.0001748967042658478
1999,0.00017682033649180084
2000,0.00017883085820358247
2001,0.00018031481886282563
2002,0.00018451418145559728
2003,0.00018423268920741975
2004,0.00018335158529225737
2005,0.00018802542763296515
2006,0.00018581660697236657
2007,0.0001876124442787841
2008,0.00018439975974615663
2009,0.00018965205526910722
2010,0.00019023242930416018
2011,0.00019368746143300086
2012,0.00018811429617926478
2013,0.0001882739015854895
2014,0.00019217912631575018
2015,0.0001881953503470868
2016,0.00019101124780718237
2017,0.00018180516781285405
2018,0.00017546908929944038
2019,0.0001821230398491025
