,air
1897,0.0001753451651893556
1898,0.00017663002654444426
1899,0.00017804463277570903
1900,0.00017716968432068825
1901,0.0001681799185462296
1902,0.00018439991981722414
1903,0.00018628691032063216
1904,0.00017976306844502687
1905,0.00018805712170433253
1906,0.0001775536366039887
1907,0.00017614915850572288
1908,0.0001867171813501045
1909,0.00018699310021474957
1910,0.00019344994507264346
1911,0.00019059263286180794
1912,0.0001894240704132244
1913,0.00019037447054870427
1914,0.0001835989096434787
1915,0.00018217542674392462
1916,0.00018062298477161676
1917,0.0001815888099372387
1918,0.00018086214549839497
1919,0.00018070962687488645
1920,0.00018628068210091442
1921,0.00018026592442765832
1922,0.0001836056326283142
1923,0.00018601697229314595
1924,0.00017780918278731406
1925,0.0001982628455152735
1926,0.00017416141054127365
1927,0.00017584981105756015
1928,0.00017783600196707994
1929,0.00018397097301203758
1930,0.00018811140034813434
1931,0.00017920334357768297
1932,0.00018521942547522485
1933,0.0001785755157470703
1934,0.00019198775407858193
1935,0.00018363536219112575
1936,0.0001896105968626216
1937,0.00020435149781405926
1938,0.0002118079864885658
1939,0.0001916015608003363
1940,0.00021483522141352296
1941,0.00021520799782592803
1942,0.0002504600561223924
1943,0.0002609353105071932
1944,0.0002792968007270247
1945,0.00025412836112082005
1946,0.00026258142315782607
1947,0.00025065845693461597
1948,0.0002405851410003379
1949,0.00024324312107637525
1950,0.00022303084551822394
1951,0.00023365260858554393
1952,0.00022594422625843436
1953,0.0002206858480349183
1954,0.00022707367315888405
1955,0.0002216069115092978
1956,0.00022302279830910265
1957,0.0002237627631984651
1958,0.00022352163796313107
1959,0.00022042209457140416
1960,0.00021094284602440894
1961,0.00020548149768728763
1962,0.0002039325627265498
1963,0.00019708171021193266
1964,0.00018740305677056313
1965,0.000194148815353401
1966,0.00019463387434370816
1967,0.00018829797045327723
1968,0.00017982404096983373
1969,0.00017520881374366581
1970,0.00019584476831369102
1971,0.00019675164367072284
1972,0.00019495155720505863
1973,0.00018765105050988495
1974,0.0001873786823125556
1975,0.00018129452655557543
1976,0.00018541282042860985
1977,0.00018902630836237222
1978,0.00018322886899113655
1979,0.00018633146828506142
1980,0.00017955944349523634
1981,0.00017770647536963224
1982,0.00017024176486302167
1983,0.0001758712314767763
1984,0.00016233664064202458
1985,0.0001596112415427342
1986,0.00015594405704177916
1987,0.00016035039152484387
1988,0.0001542597310617566
1989,0.0001555638446006924
1990,0.00015812544734217227
1991,0.00016048092220444232
1992,0.00015188840916380286
1993,0.0001503355015302077
1994,0.00014761666534468532
1995,0.00014860053488519043
1996,0.0001463350490666926
1997,0.0001443575747543946
1998,0.00014129425107967108
1999,0.0001385288778692484
2000,0.00014442398969549686
2001,0.00014164553431328386
2002,0.00013996216875966638
2003,0.00014147278852760792
2004,0.0001382025220664218
2005,0.0001370256213704124
2006,0.00013779850269202143
2007,0.0001445447123842314
2008,0.00014820547949057072
2009,0.0001537455100333318
2010,0.0001557675568619743
2011,0.0001655519154155627
2012,0.00016237812815234065
2013,0.0001597058871993795
2014,0.0001694350503385067
2015,0.00016509446140844375
2016,0.00016000907635316253
2017,0.00016491595306433737
2018,0.0001638207322685048
2019,0.00016837017028592527
