,case
1970,0.00044210359919816256
1971,0.0004490881983656436
1972,0.00044741452438756824
1973,0.0004431605339050293
1974,0.00044779651216231287
1975,0.00045371963642537594
1976,0.0004534718464128673
1977,0.0004446712846402079
1978,0.00044503522804006934
1979,0.00044467009138315916
1980,0.00044179949327372015
1981,0.0004442798672243953
1982,0.000453114858828485
1983,0.00044082343811169267
1984,0.00044391045230440795
1985,0.00044046135735698044
1986,0.00044181555858813226
1987,0.00044509745202958584
1988,0.00044047448318451643
1989,0.00043494891724549234
1990,0.0004324037581682205
1991,0.00042963141459040344
1992,0.0004343900945968926
1993,0.000419882737332955
1994,0.0004207870806567371
1995,0.00042872343328781426
1996,0.00042458646930754185
1997,0.0004319158324506134
1998,0.0004364189226180315
1999,0.0004345436464063823
2000,0.00042351652518846095
2001,0.00042617361759766936
2002,0.0004287154588382691
2003,0.0004305326147004962
2004,0.00041689880890771747
2005,0.0004140975943300873
2006,0.00041370614781044424
2007,0.00040998015902005136
2008,0.00040709166205488145
2009,0.00038857338950037956
2010,0.00037516228621825576
2011,0.0003570414846763015
2012,0.00037964273360557854
2013,0.00037710973992943764
2014,0.0003467088972683996
2015,0.00034557966864667833
2016,0.0003705728449858725
2017,0.0003448891802690923
2018,0.00034065020736306906
2019,0.0003474582335911691
