,under
1990,0.0007350462255999446
1991,0.0007359430892392993
1992,0.0007454741280525923
1993,0.0007479101768694818
1994,0.0007290209177881479
1995,0.0008061197586357594
1996,0.0007222137646749616
1997,0.0007405861397273839
1998,0.0007224428118206561
1999,0.0007210854673758149
2000,0.0006933769327588379
2001,0.0007171349716372788
2002,0.0006756017683073878
2003,0.000676857540383935
2004,0.0006431220099329948
2005,0.0006371531053446233
2006,0.0006308724987320602
2007,0.000615699973423034
2008,0.0006236962508410215
2009,0.0005743770743720233
2010,0.0005261434707790613
2011,0.0004769320657942444
2012,0.00046909466618672013
2013,0.00045747662079520524
2014,0.0004461007774807513
2015,0.00042326285620220006
2016,0.0004244259325787425
2017,0.00041249330388382077
2018,0.0004209426115266979
2019,0.0004172266344539821
