,still
1945,0.0002933499636128545
1946,0.0003009919892065227
1947,0.00029807310784235597
1948,0.0002974910312332213
1949,0.000282782013528049
1950,0.0002924810105469078
1951,0.00029228991479612887
1952,0.0002958514669444412
1953,0.0002876168000511825
1954,0.00028923654463142157
1955,0.00028731513884849846
1956,0.0002946465974673629
1957,0.00028428694349713624
1958,0.0002893253113143146
1959,0.00028105854289606214
1960,0.00028649246087297797
1961,0.0002861678949557245
1962,0.0002880233514588326
1963,0.00028427946381270885
1964,0.0002809109282679856
1965,0.00028290951740927994
1966,0.00028755347011610866
1967,0.0002857620711438358
1968,0.00029290560632944107
1969,0.00028891011606901884
1970,0.0002847316791303456
1971,0.0002733433502726257
1972,0.0002703405625652522
1973,0.0002621179155539721
1974,0.00026301085017621517
1975,0.0002555709797888994
1976,0.0002525879826862365
1977,0.00024849531473591924
1978,0.0002461208205204457
1979,0.00024532436509616673
1980,0.000250489596510306
1981,0.000246104464167729
1982,0.0002487494784872979
1983,0.0002508477191440761
1984,0.00025205142446793616
1985,0.0002492917701601982
1986,0.000256591709330678
1987,0.00025639054365456104
1988,0.00025877816369757056
1989,0.00025655905483290553
1990,0.00026100032846443355
1991,0.00026291495305486023
1992,0.00026333017740398645
1993,0.00026144631556235254
1994,0.0002644525666255504
1995,0.0002617239370010793
1996,0.0002732651773840189
1997,0.0002766534744296223
1998,0.00028343594749458134
1999,0.00029009763966314495
2000,0.0003110795223619789
2001,0.0003135527949780226
2002,0.00032139275572262704
2003,0.00032786797964945436
2004,0.000337660574587062
2005,0.0003414696257095784
2006,0.00035082822432741523
2007,0.00036366237327456474
2008,0.00038212252547964454
2009,0.0004122434474993497
2010,0.0004337436694186181
2011,0.00046119969920255244
2012,0.0004365825152490288
2013,0.0004417230957187712
2014,0.0004948470741510391
2015,0.00048248510574921966
2016,0.0004601373802870512
2017,0.0004808326775673777
2018,0.00046931023825891316
2019,0.0005212766118347645
