,home
1881,0.000186931763892062
1882,0.0001876216265372932
1883,0.00018681118672247976
1884,0.00018832349451258779
1885,0.00018240314966533333
1886,0.0001849213003879413
1887,0.00018930168880615383
1888,0.00019343184249009937
1889,0.00019394030096009374
1890,0.00019241662812419236
1891,0.00018780450045596808
1892,0.00019493639410939068
1893,0.0001957602653419599
1894,0.00019374984549358487
1895,0.00018909838399849832
1896,0.00019591675663832575
1897,0.00018993443518411368
1898,0.00019329272618051618
1899,0.00021084102627355605
1900,0.0002090783673338592
1901,0.00020034787303302437
1902,0.00019877066370099783
1903,0.0002004087291425094
1904,0.00020263271289877594
1905,0.00019527711265254766
1906,0.00019272291683591902
1907,0.00019479937327560037
1908,0.00019659005920402706
1909,0.0002034784556599334
1910,0.00019754830282181501
1911,0.00019473955035209656
1912,0.0002069660258712247
1913,0.00020175700774416327
1914,0.00021055778779555112
1915,0.00021460599964484572
1916,0.0002164861944038421
1917,0.0002209411613876
1918,0.00023402531223837286
1919,0.0002306220994796604
1920,0.00021804988500662148
1921,0.00021174373978283256
1922,0.00021827209275215864
1923,0.00022035792062524706
1924,0.00022334161621984094
1925,0.00021607828966807574
1926,0.00022117173648439348
1927,0.000223018359974958
1928,0.00022458273451775312
1929,0.00022979406639933586
1930,0.0002317154867341742
1931,0.00021663155348505825
1932,0.00023155906819738448
1933,0.00021002505673095584
1934,0.00021285210095811635
1935,0.0002122683363268152
1936,0.00021939718862995505
1937,0.00021583620400633663
1938,0.00021389509493019432
1939,0.0002171747328247875
1940,0.00021834523067809641
1941,0.0002162201126338914
1942,0.0002253545098938048
1943,0.0002281315828440711
1944,0.00024449086049571633
1945,0.00023661652812734246
1946,0.00022334490495268255
1947,0.00020577709074132144
1948,0.00020435375336091965
1949,0.00019083938968833536
1950,0.0001934761821758002
1951,0.0001936649059643969
1952,0.00019142219389323145
1953,0.00018824909057002515
1954,0.0001928207784658298
1955,0.00019174379121977836
1956,0.00019084538507740945
1957,0.000182262621819973
1958,0.00017651381494943053
1959,0.00017120047414209694
1960,0.00017445658158976585
1961,0.0001662215800024569
1962,0.00016101521032396704
1963,0.000161209303769283
1964,0.00016012821288313717
1965,0.00016281138232443482
1966,0.0001614372740732506
1967,0.0001641240087337792
1968,0.00016480570775456727
1969,0.00016708247130736709
1970,0.00016868427337612957
1971,0.0001614422508282587
1972,0.00016511829744558781
1973,0.0001611004990991205
1974,0.000163940159836784
1975,0.0001627330930205062
1976,0.00016564545512665063
1977,0.00016614486230537295
1978,0.00016749580390751362
1979,0.00016746483743190765
1980,0.00017307823873125017
1981,0.00017058709636330605
1982,0.00017569292685948312
1983,0.0001798069424694404
1984,0.0001787443907232955
1985,0.00017208189819939435
1986,0.00017465899873059243
1987,0.00018115520651917905
1988,0.00018425571033731103
1989,0.00018607027595862746
1990,0.00018606432422529906
1991,0.00018667912809178233
1992,0.0001922583469422534
1993,0.00020198592392262071
1994,0.0001947022246895358
1995,0.00020043362746946514
1996,0.00020340015180408955
1997,0.00021195551380515099
1998,0.00021437306713778526
1999,0.00022055121371522546
2000,0.00023381132632493973
2001,0.00023562985006719828
2002,0.00023511445033363998
2003,0.0002453880151733756
2004,0.0002510325866751373
2005,0.0002548695483710617
2006,0.00025645867572166026
2007,0.0002598745923023671
2008,0.00027192773995921016
2009,0.0002930621267296374
2010,0.00030158727895468473
2011,0.00031758894328959286
2012,0.0002873945632018149
2013,0.00028396613197401166
2014,0.00032269672374241054
2015,0.0003152539720758796
2016,0.0002969980996567756
2017,0.0002994907845277339
2018,0.0002896184450946748
2019,0.0003006116021424532
