,each
1936,0.0006453677779063582
1937,0.0006563079659827054
1938,0.0006636353791691363
1939,0.0006810686318203807
1940,0.0006711710011586547
1941,0.000668401422444731
1942,0.0006576456362381577
1943,0.0006436408730223775
1944,0.0006381170824170113
1945,0.0006376593955792487
1946,0.0006192049477249384
1947,0.0006376721430569887
1948,0.0006341144326142967
1949,0.000648649875074625
1950,0.0006235913606360555
1951,0.0006344116991385818
1952,0.0006344918510876596
1953,0.0006420439458452165
1954,0.0006467711646109819
1955,0.0006441009463742375
1956,0.0006383488071151078
1957,0.0006384222069755197
1958,0.0006363395950756967
1959,0.0006478066788986325
1960,0.0006310211610980332
1961,0.0006426200270652771
1962,0.0006290512392297387
1963,0.000635781092569232
1964,0.0006258251960389316
1965,0.0006258148932829499
1966,0.0006139344768598676
1967,0.0006088986992835999
1968,0.0006041467422619462
1969,0.0006096013239584863
1970,0.0006094368873164058
1971,0.000618007208686322
1972,0.0006196487811394036
1973,0.0006147417007014155
1974,0.0006153354188427329
1975,0.0006303685368038714
1976,0.0006208260310813785
1977,0.0006255459738895297
1978,0.0006116369040682912
1979,0.0006126894732005894
1980,0.0006083219777792692
1981,0.0006081118481233716
1982,0.0006004403694532812
1983,0.0006146922241896391
1984,0.0005919410032220185
1985,0.0005891539622098207
1986,0.0005818877252750099
1987,0.0005929566104896367
1988,0.0005885079153813422
1989,0.0005809973808936775
1990,0.0005852746544405818
1991,0.0005872939946129918
1992,0.0005849724402651191
1993,0.0005899248644709587
1994,0.000587912043556571
1995,0.0005908971652388573
1996,0.0005830107256770134
1997,0.0005988230695948005
1998,0.0005977644468657672
1999,0.0005891807959415019
2000,0.0005847779684700072
2001,0.0005886009312234819
2002,0.0005780757055617869
2003,0.0005920298863202333
2004,0.0005860816454514861
2005,0.0005857281503267586
2006,0.0005709585384465754
2007,0.0005652333493344486
2008,0.0005594370304606855
2009,0.0005608428036794066
2010,0.0005684897769242525
2011,0.0005599572905339301
2012,0.0005520505364984274
2013,0.0005503823049366474
2014,0.000527314143255353
2015,0.0005116338143125176
2016,0.0005175949190743268
2017,0.0004857750318478793
2018,0.0004743328026961535
2019,0.0004937302437610924
