,us
2006,0.0004680333659052849
2007,0.0004785231139976531
2008,0.000509274541400373
2009,0.0005537630058825016
2010,0.0005739631014876068
2011,0.0005904262070544064
2012,0.0005555245443247259
2013,0.0005591690423898399
2014,0.000621019396930933
2015,0.0006241555092856288
2016,0.0005844644620083272
2017,0.0006392878713086247
2018,0.0006399258854798973
2019,0.0006350820767693222
