,new
1882,0.000448892213171348
1883,0.00045765176764689386
1884,0.00044705343316309154
1885,0.000447083730250597
1886,0.0004615791840478778
1887,0.0004487491096369922
1888,0.00045808550203219056
1889,0.0004630835901480168
1890,0.0004803112242370844
1891,0.0004776886198669672
1892,0.00047452576109208167
1893,0.00047650429769419134
1894,0.0004808632074855268
1895,0.0004768428043462336
1896,0.0004883214132860303
1897,0.000487887067720294
1898,0.0004933969466947019
1899,0.0004957877099514008
1900,0.0004916414618492126
1901,0.0005020684911869466
1902,0.0005099001573398709
1903,0.0005173268727958202
1904,0.0005098006222397089
1905,0.0005181572632864118
1906,0.0005343242664821446
1907,0.0005242136539891362
1908,0.0005142151494510472
1909,0.0005244985804893076
1910,0.00052404566667974
1911,0.0005190576193854213
1912,0.0005292565911076963
1913,0.000544681737665087
1914,0.0005391660379245877
1915,0.0005452348850667477
1916,0.0005419483059085906
1917,0.0005525556625798345
1918,0.0005689621903002262
1919,0.0005832797614857554
1920,0.0005803697858937085
1921,0.0005734797450713813
1922,0.000573866767808795
1923,0.0005451018223538995
1924,0.0005415841587819159
1925,0.0005382761592045426
1926,0.0005633090040646493
1927,0.0005723671056330204
1928,0.0005802086670883
1929,0.0005949113983660936
1930,0.0005934996297582984
1931,0.0005769309354946017
1932,0.0005864280392415822
1933,0.0005849851877428591
1934,0.0006042451714165509
1935,0.0005916295340284705
1936,0.0006047626957297325
1937,0.0006143160280771554
1938,0.000618340156506747
1939,0.0006049491348676383
1940,0.0006214611348696053
1941,0.0006110630347393453
1942,0.0006266855634748936
1943,0.0006202096701599658
1944,0.0006542672635987401
1945,0.0006603418150916696
1946,0.0006649944698438048
1947,0.0006673193420283496
1948,0.00066895637428388
1949,0.0006423220620490611
1950,0.000653563707601279
1951,0.0006723551196046174
1952,0.0006687860004603863
1953,0.0006897690473124385
1954,0.0007002800703048706
1955,0.0006994724390096962
1956,0.0007192422053776681
1957,0.0007029896369203925
1958,0.0007070386200211942
1959,0.0007057258044369519
1960,0.0007042369688861072
1961,0.0007056969334371388
1962,0.0006976172444410622
1963,0.0006875107646919787
1964,0.0006885230541229248
1965,0.0006859780405648053
1966,0.0007071851287037134
1967,0.0006910236552357674
1968,0.000692251545842737
1969,0.0006956523284316063
1970,0.0006821717834100127
1971,0.0006766786682419479
1972,0.0006679732468910515
1973,0.0006688052671961486
1974,0.0006701889215037227
1975,0.0006594548467546701
1976,0.0006528017111122608
1977,0.0006564780487678945
1978,0.0006515909335575998
1979,0.0006500682793557644
1980,0.0006532595143653452
1981,0.000636493437923491
1982,0.0006364083383232355
1983,0.0006411210633814335
1984,0.0006488407962024212
1985,0.0006416490068659186
1986,0.0006609815172851086
1987,0.0006523941992782056
1988,0.0006626775139011443
1989,0.0006469620275311172
1990,0.0006611651624552906
1991,0.0006553262937813997
1992,0.0006596739403903484
1993,0.0006511245155707002
1994,0.000662337988615036
1995,0.0006490376545116305
1996,0.0006579978507943451
1997,0.0006690428126603365
1998,0.0006688691792078316
1999,0.0006736802752129734
2000,0.0006737483781762421
2001,0.0006700024823658168
2002,0.0006819593836553395
2003,0.0006723334081470966
2004,0.0006726747960783541
2005,0.0006655234610661864
2006,0.0006592187564820051
2007,0.0006576786399818957
2008,0.0006390667404048145
2009,0.000640335027128458
2010,0.0006462289020419121
2011,0.0006192303844727576
2012,0.0006033824174664915
2013,0.0006273621693253517
2014,0.0005979654379189014
2015,0.0006033237441442907
2016,0.0006241662777028978
2017,0.0005718422471545637
2018,0.0005434424965642393
2019,0.0005645601777359843
