,little
1943,0.00032687754719518125
1944,0.00034115021117031574
1945,0.000330678973114118
1946,0.0003426129696890712
1947,0.0003346324956510216
1948,0.0003348385216668248
1949,0.00031592417508363724
1950,0.00032407851540483534
1951,0.00032149182516150177
1952,0.0003229884314350784
1953,0.0003174399316776544
1954,0.00031342078000307083
1955,0.00031427075737155974
1956,0.00031362890149466693
1957,0.0003007201012223959
1958,0.00030097278067842126
1959,0.00029038501088507473
1960,0.00029037168133072555
1961,0.0002873769262805581
1962,0.0002865815768018365
1963,0.00028620220837183297
1964,0.0002774338936433196
1965,0.00028279118123464286
1966,0.00028299528639763594
1967,0.00028496116283349693
1968,0.0002936648961622268
1969,0.0002894872159231454
1970,0.0002815777261275798
1971,0.000262032583123073
1972,0.00025989318965002894
1973,0.00024614177527837455
1974,0.00024551176466047764
1975,0.00023577100364491343
1976,0.00023589203192386776
1977,0.00023133086506277323
1978,0.00022642477415502071
1979,0.00022512555005960166
1980,0.00022742901637684554
1981,0.00022248257300816476
1982,0.00022473912395071238
1983,0.0002248738892376423
1984,0.0002277210878673941
1985,0.00022169238945934922
1986,0.00022542651277035475
1987,0.0002259822649648413
1988,0.00022522664221469313
1989,0.00022244875435717404
1990,0.0002234677958767861
1991,0.00022418750450015068
1992,0.00022430854733102024
1993,0.00022278436517808586
1994,0.0002244126080768183
1995,0.00022207935398910195
1996,0.0002309260453330353
1997,0.00023305842478293926
1998,0.00023889122530817986
1999,0.0002456895890645683
2000,0.00026544657885096967
2001,0.00026637566043064
2002,0.00027084341854788363
2003,0.00027930227224715054
2004,0.0002992910158354789
2005,0.0002975194656755775
2006,0.0003157081373501569
2007,0.00032734652631916106
2008,0.0003673971223179251
2009,0.000388283166103065
2010,0.0003969772660639137
2011,0.0004150481545366347
2012,0.00038934318581596017
2013,0.0004063918604515493
2014,0.00045100791612640023
2015,0.0004397337033879012
2016,0.00040732958586886525
2017,0.00047678148257546127
2018,0.0004926819237880409
2019,0.0004858253232669085
