,money
1915,0.00025412076502107084
1916,0.0002555230166763067
1917,0.0002472965861670673
1918,0.00024517919518984854
1919,0.00025447903317399323
1920,0.00025342352455481887
1921,0.0002603960456326604
1922,0.0002516085223760456
1923,0.00024191936245188117
1924,0.0002495995140634477
1925,0.00022837986762169749
1926,0.00023266649805009365
1927,0.00022703570721205324
1928,0.00022685945441480726
1929,0.00022265789448283613
1930,0.00022518480545841157
1931,0.00022832838294561952
1932,0.00024494013632647693
1933,0.00024354785273317248
1934,0.0002358961501158774
1935,0.0002346729306736961
1936,0.00022485859517473727
1937,0.00021883370936848223
1938,0.00021340027160476893
1939,0.0002238680754089728
1940,0.0002077137032756582
1941,0.00020592877990566194
1942,0.0001841778284870088
1943,0.00018913939129561186
1944,0.0001772233663359657
1945,0.00018663502123672515
1946,0.00017863606626633555
1947,0.00019401426834519953
1948,0.00018939559231512249
1949,0.00018239767814520746
1950,0.0001842469209805131
1951,0.00018735120829660445
1952,0.0001880605414044112
1953,0.00018597693997435272
1954,0.00018197711324319243
1955,0.00018119813466910273
1956,0.00017487708828411996
1957,0.0001922719820868224
1958,0.00017685462080407888
1959,0.00017810081772040576
1960,0.0001685273164184764
1961,0.00016643393610138446
1962,0.0001594911445863545
1963,0.0001631035265745595
1964,0.0001569876039866358
1965,0.00016072193102445453
1966,0.0001655828091315925
1967,0.00017308469978161156
1968,0.00017340530757792294
1969,0.00017817848129197955
1970,0.00016830244567245245
1971,0.00016861819312907755
1972,0.00015963974874466658
1973,0.0001651447673793882
1974,0.00016622949624434114
1975,0.0001631683117011562
1976,0.00015712916501797736
1977,0.00015541687025688589
1978,0.00015447214536834508
1979,0.00015472565428353846
1980,0.000155291854753159
1981,0.00015405814338009804
1982,0.00015660366625525057
1983,0.00015218769840430468
1984,0.0001493416930316016
1985,0.00014322131755761802
1986,0.00014830967120360583
1987,0.00014668848598375916
1988,0.0001467761758249253
1989,0.0001488085836172104
1990,0.0001479665224906057
1991,0.0001495824399171397
1992,0.00015170391998253763
1993,0.00014999763516243547
1994,0.00014917664520908147
1995,0.00014803034719079733
1996,0.00014743658539373428
1997,0.00015380751574411988
1998,0.0001526822743471712
1999,0.0001547501451568678
2000,0.00015902178711257875
2001,0.00015932327369228005
2002,0.00015978515148162842
2003,0.0001590750616742298
2004,0.00016193234478123486
2005,0.00016350658552255481
2006,0.00015925134357530624
2007,0.000165477380505763
2008,0.00017194027896039188
2009,0.00018348869343753904
2010,0.00018071512749884278
2011,0.00018206459935754538
2012,0.00016135214536916465
2013,0.00016206315194722265
2014,0.00017645329353399575
2015,0.00017383217345923185
2016,0.00016986469563562423
2017,0.00016829639207571745
2018,0.0001668766635702923
2019,0.00017234009283129126
