,large
2005,0.0002835441555362195
2006,0.0002817691129166633
2007,0.00027983603649772704
2008,0.00027672649594023824
2009,0.0002750222338363528
2010,0.0002770179125946015
2011,0.0002739389310590923
2012,0.00028883240884169936
2013,0.00028278425452299416
2014,0.0002572501834947616
2015,0.0002589428913779557
2016,0.0002630482194945216
2017,0.00025031238328665495
2018,0.00024527954519726336
2019,0.0002603756438475102
