,better
1990,0.00016639263776596636
1991,0.0001671292120590806
1992,0.000167451988090761
1993,0.00016679354303050786
1994,0.0001715352846076712
1995,0.00016859699098858982
1996,0.00017405954713467509
1997,0.00017808853590395302
1998,0.00018047959019895643
1999,0.00018282560631632805
2000,0.00019265330047346652
2001,0.00019279838306829333
2002,0.00019796236301772296
2003,0.0002042053238255903
2004,0.0002110438799718395
2005,0.00021471544459927827
2006,0.00021932808158453554
2007,0.00022298026306089014
2008,0.0002346868859604001
2009,0.00024873067741282284
2010,0.0002552912337705493
2011,0.0002641557075548917
2012,0.0002529726771172136
2013,0.0002529995981603861
2014,0.0002743226068560034
2015,0.00027122499886900187
2016,0.00026244830223731697
2017,0.0002738579350989312
2018,0.00027294529718346894
2019,0.0002753016888163984
