,action
1924,0.0002770274877548218
1925,0.00026269277441315353
1926,0.00026335669099353254
1927,0.00024803547421470284
1928,0.00027844999567605555
1929,0.00024708997807465494
1930,0.0002422026445856318
1931,0.0002696893352549523
1932,0.0002859109954442829
1933,0.0002688077511265874
1934,0.0002614017575979233
1935,0.00025687628658488393
1936,0.00028174996259622276
1937,0.0002577180857770145
1938,0.00026622097357176244
1939,0.00026689356309361756
1940,0.00029064217233099043
1941,0.0003002560406457633
1942,0.0002885164867620915
1943,0.00029618284315802157
1944,0.00028770414064638317
1945,0.000288606621325016
1946,0.00027764937840402126
1947,0.0002826207200996578
1948,0.00027692175353877246
1949,0.00028293131617829204
1950,0.00027885977760888636
1951,0.00028443546034395695
1952,0.00029784152866341174
1953,0.00026835480821318924
1954,0.00029277720022946596
1955,0.00027001864509657025
1956,0.00026052232715301216
1957,0.0002907222369685769
1958,0.00026717735454440117
1959,0.0002687688102014363
1960,0.0002800801594275981
1961,0.0002693283895496279
1962,0.0002634491538628936
1963,0.0002617202408146113
1964,0.00025378348072990775
1965,0.00025505313533358276
1966,0.0002633518888615072
1967,0.00026078420341946185
1968,0.0002551177458371967
1969,0.00025295832892879844
1970,0.0002614566183183342
1971,0.0002610493975225836
1972,0.00027414868236519396
1973,0.000272869598120451
1974,0.0002668243832886219
1975,0.00026569730835035443
1976,0.00026871816953644156
1977,0.00026405451353639364
1978,0.00026274926494807005
1979,0.0002600439474917948
1980,0.00025321837165392935
1981,0.0002568014897406101
1982,0.00026571497437544167
1983,0.00024199757899623364
1984,0.00024359027156606317
1985,0.00025851864484138787
1986,0.00024636913440190256
1987,0.00024975553969852626
1988,0.00023795204469934106
1989,0.00023314770078286529
1990,0.00023152338690124452
1991,0.0002350170398131013
1992,0.00022780764265917242
1993,0.0002217071014456451
1994,0.00022025630460120738
1995,0.00022989460558164865
1996,0.0002253537968499586
1997,0.00022758815612178296
1998,0.00023849791614338756
1999,0.00023191857326310128
2000,0.0002211497339885682
2001,0.00023607020557392389
2002,0.00023058569058775902
2003,0.0002236732980236411
2004,0.00021526127238757908
2005,0.0002126461040461436
2006,0.00020850343571510166
2007,0.000202278170036152
2008,0.00020180920546408743
2009,0.00019756982510443777
2010,0.00018554567941464484
2011,0.0001642481511225924
2012,0.0001646660384722054
2013,0.00017006744747050107
2014,0.0001546922721900046
2015,0.00015512386744376272
2016,0.00016019595204852521
2017,0.00014443717373069376
2018,0.00014407536946237087
2019,0.00014835799811407924
