,members
1924,0.0002721353084780276
1925,0.00025615558843128383
1926,0.0002611264353618026
1927,0.0002717376046348363
1928,0.0002604871988296509
1929,0.0002738105249591172
1930,0.00027640623738989234
1931,0.0002716760500334203
1932,0.00027174880960956216
1933,0.0002928636677097529
1934,0.00029136924422346056
1935,0.0002868567535188049
1936,0.00029874881147406995
1937,0.00029742770129814744
1938,0.0002995565300807357
1939,0.00031599446083419025
1940,0.0003063289332203567
1941,0.0003076625580433756
1942,0.00030303705716505647
1943,0.000314264849293977
1944,0.0003246961859986186
1945,0.00033266941318288445
1946,0.0003182572836522013
1947,0.0003347033925820142
1948,0.0003250355657655746
1949,0.00031587379635311663
1950,0.000307048816466704
1951,0.00031192347523756325
1952,0.00030495316605083644
1953,0.0003148085670545697
1954,0.0003069982922170311
1955,0.00031482562189921737
1956,0.0003151309792883694
1957,0.0003093011036980897
1958,0.0002987203770317137
1959,0.0003098681918345392
1960,0.00029105052817612886
1961,0.0002862934488803148
1962,0.00027475692331790924
1963,0.0002723562647588551
1964,0.00027748110005632043
1965,0.0002727760293055326
1966,0.00027173192938789725
1967,0.00027368543669581413
1968,0.0002607288770377636
1969,0.000267166382400319
1970,0.0002642607141751796
1971,0.0002675091673154384
1972,0.0002610183146316558
1973,0.0002620222803670913
1974,0.00025706677115522325
1975,0.00025716121308505535
1976,0.0002520504640415311
1977,0.00025069995899684727
1978,0.00024185283109545708
1979,0.00023834992316551507
1980,0.0002379864890826866
1981,0.0002327618421986699
1982,0.00023622844310011715
1983,0.00023155029339250177
1984,0.0002217301953351125
1985,0.00022268336033448577
1986,0.0002203244948759675
1987,0.0002181184245273471
1988,0.000222108923480846
1989,0.00022156507475301623
1990,0.00022025099315214902
1991,0.0002196904388256371
1992,0.00021868309704586864
1993,0.00021967077918816358
1994,0.000220819580135867
1995,0.0002196011773776263
1996,0.000216183892916888
1997,0.00022605466074310243
1998,0.0002239975001430139
1999,0.00022050300322007388
2000,0.00021062548330519348
2001,0.000215059524634853
2002,0.00021041651780251414
2003,0.0002080185222439468
2004,0.00020275652059353888
2005,0.00020339676120784134
2006,0.0001948376011569053
2007,0.00018982493202202022
2008,0.0001861110795289278
2009,0.00017534519429318607
2010,0.00016870666877366602
2011,0.0001586841099197045
2012,0.00014342920621857047
2013,0.00015648278349544853
2014,0.00014662716421298683
2015,0.00015179273032117635
2016,0.0001599466340849176
2017,0.00013731594663113356
2018,0.0001297129929298535
2019,0.00013573947944678366
