,back
1940,0.0002603589091449976
1941,0.00025797533453442156
1942,0.00027523189783096313
1943,0.00028992921579629183
1944,0.0003027502680197358
1945,0.0002954108640551567
1946,0.00029385395464487374
1947,0.0002810515579767525
1948,0.00027273697196505964
1949,0.00025482827913947403
1950,0.0002613017859403044
1951,0.00027588754892349243
1952,0.00026873641763813794
1953,0.0002684648206923157
1954,0.00026002738741226494
1955,0.00026403929223306477
1956,0.0002597058773972094
1957,0.0002555509563535452
1958,0.000250128039624542
1959,0.00024382055562455207
1960,0.00023875328770373017
1961,0.00023873790632933378
1962,0.00023830206191632897
1963,0.00023107360175345093
1964,0.00023130270710680634
1965,0.00022869836539030075
1966,0.0002307825634488836
1967,0.0002287059760419652
1968,0.0002308468392584473
1969,0.00023213261738419533
1970,0.0002325022651348263
1971,0.00022376587730832398
1972,0.00022534947493113577
1973,0.00022575436742044985
1974,0.00022970515419729054
1975,0.00022560973593499511
1976,0.00022495065059047192
1977,0.00022613206238020211
1978,0.00022589003492612392
1979,0.0002279044419992715
1980,0.00023778861213941127
1981,0.00024115561973303556
1982,0.00024628746905364096
1983,0.00025179755175486207
1984,0.0002526284079067409
1985,0.0002575041726231575
1986,0.0002633606200106442
1987,0.00027010426856577396
1988,0.0002771083381958306
1989,0.00027876804233528674
1990,0.0002826108830049634
1991,0.00029023989918641746
1992,0.0002910059702116996
1993,0.00029377019382081926
1994,0.00029956610524095595
1995,0.0002976850082632154
1996,0.0003112179401796311
1997,0.00032128964085131884
1998,0.0003274001937825233
1999,0.00034134642919525504
2000,0.0003915455308742821
2001,0.000404608465032652
2002,0.0004185322322882712
2003,0.0004339049628470093
2004,0.0004479313502088189
2005,0.00046752436901442707
2006,0.0004744226753246039
2007,0.0005116774118505418
2008,0.0005504736909642816
2009,0.0006363921565935016
2010,0.0007003357168287039
2011,0.0007986759301275015
2012,0.000742418400477618
2013,0.0007278916309587657
2014,0.0009040025761350989
2015,0.0008597081759944558
2016,0.0007870186818763614
2017,0.0008406576816923916
2018,0.0007756525301374495
2019,0.0008089747279882431
