,come
1902,0.00033096576225943863
1903,0.0003305338614154607
1904,0.0003322159464005381
1905,0.00031364033930003643
1906,0.00031475219293497503
1907,0.00031116767786443233
1908,0.000313784257741645
1909,0.0003181292850058526
1910,0.0003053174295928329
1911,0.00030006247106939554
1912,0.00030540634179487824
1913,0.0002998537092935294
1914,0.00029927451396360993
1915,0.00028302575810812414
1916,0.0002953066723421216
1917,0.0002915935474447906
1918,0.00030060758581385016
1919,0.00030550677911378443
1920,0.0003058690926991403
1921,0.00029532413464039564
1922,0.0002964558661915362
1923,0.0002981910656671971
1924,0.00030864254222251475
1925,0.00029415145399980247
1926,0.00029829147388227284
1927,0.000293985300231725
1928,0.00029281392926350236
1929,0.0002963376173283905
1930,0.0002885856665670872
1931,0.00027238274924457073
1932,0.00027785691781900823
1933,0.00026209186762571335
1934,0.00027694832533597946
1935,0.00027410726761445403
1936,0.0002693225396797061
1937,0.0002606511116027832
1938,0.0002630437375046313
1939,0.00025733213988132775
1940,0.00024923551245592535
1941,0.00024261431826744229
1942,0.0002600001753307879
1943,0.00026201430591754615
1944,0.0002695363946259022
1945,0.00026569218607619405
1946,0.0002742545329965651
1947,0.00026503013214096427
1948,0.00026155891828238964
1949,0.00023954155039973557
1950,0.0002508328761905432
1951,0.00025728915352374315
1952,0.0002646639768499881
1953,0.0002510320337023586
1954,0.0002437740477034822
1955,0.0002536201209295541
1956,0.0002561611763667315
1957,0.0002452619664836675
1958,0.0002472160558681935
1959,0.00023442132805939764
1960,0.00023465775302611291
1961,0.00023665401386097074
1962,0.00023565291485283524
1963,0.0002336491015739739
1964,0.00023504431010223925
1965,0.00024044662131927907
1966,0.00024253668379969895
1967,0.00024390463659074157
1968,0.0002450765168759972
1969,0.0002449899911880493
1970,0.00023999030236154795
1971,0.00022807036293670535
1972,0.0002220411697635427
1973,0.00021458360424730927
1974,0.00021757501235697418
1975,0.00020736355509143323
1976,0.00020403621601872146
1977,0.00019958775374107063
1978,0.0001974015322048217
1979,0.00019723616424016654
1980,0.00019821642490569502
1981,0.00019362168677616864
1982,0.00019550191063899547
1983,0.00019555201288312674
1984,0.00019882991909980774
1985,0.00019455562869552523
1986,0.00020003259123768657
1987,0.00019973870075773448
1988,0.0002036514924839139
1989,0.0002015422360273078
1990,0.0002039828832494095
1991,0.00020693607802968472
1992,0.00020833128655795008
1993,0.00020525866420939565
1994,0.00020791299175471067
1995,0.00020553050853777677
1996,0.0002150410000467673
1997,0.00021830355399288237
1998,0.00022105866810306907
1999,0.00022839363373350352
2000,0.00024669140111654997
2001,0.0002487857127562165
2002,0.00025211097090505064
2003,0.00026379714836366475
2004,0.0002777998452074826
2005,0.0002808594435919076
2006,0.00029272015672177076
2007,0.0003009141073562205
2008,0.00032564724097028375
2009,0.00035064705298282206
2010,0.0003660459478851408
2011,0.0003852265072055161
2012,0.00035817953175865114
2013,0.00036219265894033015
2014,0.0004136335919611156
2015,0.00040723802521824837
2016,0.0003769321774598211
2017,0.00044926838018000126
2018,0.0004605353169608861
2019,0.00042198156006634235
