,after
1898,0.0007525724940933287
1899,0.0007433050777763128
1900,0.0007375575951300561
1901,0.0007293851231224835
1902,0.0007156174979172647
1903,0.0007157342042773962
1904,0.0007219458930194378
1905,0.0007167141302488744
1906,0.0007140262750908732
1907,0.0007159298402257264
1908,0.0007097102934494615
1909,0.0007047291728667915
1910,0.0007043391815386713
1911,0.0007056132308207452
1912,0.0006949514499865472
1913,0.0006855844403617084
1914,0.0006794302025809884
1915,0.0006909362273290753
1916,0.0006843868759460747
1917,0.0006940556922927499
1918,0.0006975942524150014
1919,0.0006850928184576333
1920,0.0006769951432943344
1921,0.0006762687698937953
1922,0.000680258555803448
1923,0.0006657791673205793
1924,0.0006538153975270689
1925,0.0006600116612389684
1926,0.0006593657890334725
1927,0.0006623102235607803
1928,0.0006538461893796921
1929,0.0006538990419358015
1930,0.0006421130965463817
1931,0.0006556680309586227
1932,0.000641767808701843
1933,0.0006503701442852616
1934,0.0006389070185832679
1935,0.0006508144433610141
1936,0.0006462603923864663
1937,0.0006430504727177322
1938,0.0006333059282042086
1939,0.0006468477076850832
1940,0.0006365444860421121
1941,0.0006478573195636272
1942,0.0006637183832935989
1943,0.0007001085905358195
1944,0.0007000776240602136
1945,0.0006913742399774492
1946,0.0006578488973900676
1947,0.00064164336072281
1948,0.0006331865442916751
1949,0.0006387415342032909
1950,0.0006307521834969521
1951,0.0006361812120303512
1952,0.0006317919469438493
1953,0.0006329048774205148
1954,0.0006437423289753497
1955,0.00062504259403795
1956,0.0006086310022510588
1957,0.0006288173608481884
1958,0.0006151152192614973
1959,0.0006169380503706634
1960,0.0006075121345929801
1961,0.0006104115163907409
1962,0.0006055188714526594
1963,0.0006052078679203987
1964,0.0006118113524280488
1965,0.0006072352989576757
1966,0.0006019734428264201
1967,0.0006063691107556224
1968,0.0006072492687962949
1969,0.0006021926528774202
1970,0.0005979493143968284
1971,0.0006004211609251797
1972,0.0005977734108455479
1973,0.0005948421894572675
1974,0.0005839424557052553
1975,0.0005880846874788404
1976,0.0005840767989866436
1977,0.0005726585513912141
1978,0.0005724621005356312
1979,0.0005747572286054492
1980,0.0005672228871844709
1981,0.0005678258021362126
1982,0.0005773216835223138
1983,0.0005670184618793428
1984,0.0005646396311931312
1985,0.0005657944711856544
1986,0.0005684196949005127
1987,0.000575278012547642
1988,0.0005808223504573107
1989,0.0005679847672581673
1990,0.0005670481477864087
1991,0.0005684925708919764
1992,0.0005671702092513442
1993,0.0005611355882138014
1994,0.0005642596515826881
1995,0.0005756939062848687
1996,0.0005681480979546905
1997,0.0005763410590589046
1998,0.0005788736161775887
1999,0.0005812881281599402
2000,0.000586100562941283
2001,0.0005973032675683498
2002,0.0005910304025746882
2003,0.0005971305654384196
2004,0.0006093792035244405
2005,0.0006078724400140345
2006,0.0006216256879270077
2007,0.0006206885445863008
2008,0.0006442805170081556
2009,0.0006372305797412992
2010,0.0006310924654826522
2011,0.0006405509193427861
2012,0.0006428695050999522
2013,0.000620966893620789
2014,0.0006404812447726727
2015,0.0006418233970180154
2016,0.0006189777632243931
2017,0.0006384839653037488
2018,0.0006388680194504559
2019,0.0006503391778096557
