,point
1953,0.00033999053994193673
1954,0.00033567214268259704
1955,0.00034271585172973573
1956,0.00034708710154518485
1957,0.0003428519703447819
1958,0.00035206295433454216
1959,0.00035473008756525815
1960,0.0003490859526209533
1961,0.00034973485162481666
1962,0.00035546167055144906
1963,0.00034887922811321914
1964,0.00035587509046308696
1965,0.00034404415055178106
1966,0.00035558626404963434
1967,0.00034170100116170943
1968,0.00033671155688352883
1969,0.0003371628699824214
1970,0.00033156006247736514
1971,0.00033076267573051155
1972,0.0003267201827839017
1973,0.00031989821582101285
1974,0.0003285784332547337
1975,0.000320804858347401
1976,0.0003125267685391009
1977,0.0003087263903580606
1978,0.00030070566572248936
1979,0.0003008815983776003
1980,0.000299993873341009
1981,0.00029035384068265557
1982,0.0002879292005673051
1983,0.0002930969058070332
1984,0.0002901379484683275
1985,0.0002864829439204186
1986,0.00028874535928480327
1987,0.0002863772097043693
1988,0.0002860816312022507
1989,0.00027993321418762207
1990,0.00028259240207262337
1991,0.00028566052787937224
1992,0.0002840258530341089
1993,0.0002760794304776937
1994,0.0002784000535029918
1995,0.00027669285191223025
1996,0.00027935532853007317
1997,0.00028897402808070183
1998,0.00028869594098068774
1999,0.0002856143401004374
2000,0.000288514798739925
2001,0.00028643172117881477
2002,0.00029333328711800277
2003,0.0002950997441075742
2004,0.0002944249426946044
2005,0.0002951738133560866
2006,0.0002955153177026659
2007,0.00030040001729503274
2008,0.0002939824771601707
2009,0.0003010840737260878
2010,0.00030770551529712975
2011,0.00030384465935640037
2012,0.0003149700060021132
2013,0.0003208900161553174
2014,0.00029917186475358903
2015,0.00029388084658421576
2016,0.0003043685865122825
2017,0.00028659802046604455
2018,0.00028095589368604124
2019,0.0002852551406249404
