,off
1984,0.0002159412979381159
1985,0.00021489433129318058
1986,0.00022007396910339594
1987,0.0002219667803728953
1988,0.000223457784159109
1989,0.00022319470008369535
1990,0.00022409854864235967
1991,0.00022838427685201168
1992,0.00022669043391942978
1993,0.00022640018141828477
1994,0.00023118479293771088
1995,0.0002288971736561507
1996,0.00023801195493433625
1997,0.00024247572582680732
1998,0.00024665912496857345
1999,0.00025315952370874584
2000,0.00027685542590916157
2001,0.00028160540387034416
2002,0.00028559030033648014
2003,0.0002939945552498102
2004,0.00030453631188720465
2005,0.0003102352493442595
2006,0.00031468001543544233
2007,0.0003317688824608922
2008,0.000352042552549392
2009,0.0003944484342355281
2010,0.000422393815824762
2011,0.0004626355948857963
2012,0.00043010793160647154
2013,0.0004212179337628186
2014,0.0005014546914026141
2015,0.00048092094948515296
2016,0.00044416257878765464
2017,0.000475925364298746
2018,0.00044481706572696567
2019,0.00044598986278288066
