,without
1933,0.00047177099622786045
1934,0.0004720712313428521
1935,0.00046574402949772775
1936,0.0004665916203521192
1937,0.00045877971570007503
1938,0.0004564671544358134
1939,0.0004603394481819123
1940,0.00045663141645491123
1941,0.0004527850542217493
1942,0.0004551489546429366
1943,0.0004619447863660753
1944,0.00045833291369490325
1945,0.0004598846717271954
1946,0.0004564773407764733
1947,0.0004561950627248734
1948,0.0004526049888227135
1949,0.0004433689173310995
1950,0.0004425622464623302
1951,0.00044080495717935264
1952,0.00045425433199852705
1953,0.0004368369991425425
1954,0.0004434201109688729
1955,0.0004322212189435959
1956,0.0004240355337969959
1957,0.0004309891373850405
1958,0.00042031725752167404
1959,0.00042120355647057295
1960,0.0004206118464935571
1961,0.0004194582288619131
1962,0.0004140193050261587
1963,0.0004152619803790003
1964,0.00040872753015719354
1965,0.0004154633788857609
1966,0.0004119460063520819
1967,0.0004125343984924257
1968,0.0004147994623053819
1969,0.0004148334846831858
1970,0.00040424897451885045
1971,0.0004012862918898463
1972,0.00039042116259224713
1973,0.0003783805586863309
1974,0.00037454572157002985
1975,0.000370568799553439
1976,0.0003654295578598976
1977,0.0003623228694777936
1978,0.00035691767698153853
1979,0.0003543666680343449
1980,0.000347617402439937
1981,0.0003479815786704421
1982,0.00035046550328843296
1983,0.0003482822503428906
1984,0.0003432548837736249
1985,0.00034626631531864405
1986,0.00034317848621867597
1987,0.0003454599354881793
1988,0.00034301215782761574
1989,0.00033782480750232935
1990,0.00033847769373096526
1991,0.00034082296770066023
1992,0.0003408305055927485
1993,0.00033534233807586133
1994,0.00033700602944009006
1995,0.00033970558433793485
1996,0.0003429008065722883
1997,0.00034645310370251536
1998,0.00034966738894581795
1999,0.00035481053055264056
2000,0.0003565963124856353
2001,0.0003568661632016301
2002,0.00035988091258332133
2003,0.00036698480835184455
2004,0.00037234940100461245
2005,0.0003703180409502238
2006,0.00037988732219673693
2007,0.0003776838129851967
2008,0.00039422392728738487
2009,0.0003928408841602504
2010,0.0003875066468026489
2011,0.000382269179681316
2012,0.0003731039760168642
2013,0.0003795981465373188
2014,0.0003876200062222779
2015,0.0003894136752933264
2016,0.0003805547603406012
2017,0.00040057513979263604
2018,0.00041237485129386187
2019,0.00040360758430324495
