,return
1888,0.00014218073920346797
1889,0.00014220549201127142
1890,0.00014203961472958326
1891,0.00014168648340273649
1892,0.00013992420281283557
1893,0.000142288175993599
1894,0.00014037911023478955
1895,0.0001412510173395276
1896,0.00014108954928815365
1897,0.00013990529987495393
1898,0.00013832355034537613
1899,0.00014412075688596815
1900,0.00013893521099817008
1901,0.0001364340860163793
1902,0.00013551884330809116
1903,0.00013126408157404512
1904,0.00013176596257835627
1905,0.0001294643443543464
1906,0.00012954557314515114
1907,0.00012970951502211392
1908,0.00012683591921813786
1909,0.00012850697385147214
1910,0.00012953029363416135
1911,0.00013036877498961985
1912,0.00012247159611433744
1913,0.00012498073920141906
1914,0.00012928475916851312
1915,0.00012768969463650137
1916,0.0001248323533218354
1917,0.00012877532572019845
1918,0.0001354751584585756
1919,0.0001472744479542598
1920,0.0001392092672176659
1921,0.00013744727766606957
1922,0.00013794517144560814
1923,0.00013359928561840206
1924,0.0001343150215689093
1925,0.00013533550372812897
1926,0.0001307876082137227
1927,0.0001299560535699129
1928,0.0001337252906523645
1929,0.00012784067075699568
1930,0.00013193902850616723
1931,0.0001318070135312155
1932,0.00013678269169759005
1933,0.00013496659812517464
1934,0.00013281777501106262
1935,0.00012966906069777906
1936,0.00013144552940502763
1937,0.0001270485809072852
1938,0.0001261074939975515
1939,0.00013231986667960882
1940,0.0001276707771467045
1941,0.000127407765830867
1942,0.00013171635509934276
1943,0.00013735267566516995
1944,0.00013665526057593524
1945,0.0001420738990418613
1946,0.00013086474791634828
1947,0.00012720163795165718
1948,0.0001230719790328294
1949,0.00012413399235811085
1950,0.00012363101996015757
1951,0.00011968910985160619
1952,0.00012274252367205918
1953,0.00012384897854644805
1954,0.00012485771731007844
1955,0.00012227028491906822
1956,0.00011625335173448548
1957,0.000118749521789141
1958,0.00011852316674776375
1959,0.00011895957868546247
1960,0.00011637531133601442
1961,0.00011703503696480766
1962,0.00011510047625051811
1963,0.00011726508819265291
1964,0.00011298544995952398
1965,0.0001165622888947837
1966,0.00011613221431616694
1967,0.00011737561726476997
1968,0.00011890015593962744
1969,0.00012079968291800469
1970,0.00011988617916358635
1971,0.00011932788765989244
1972,0.00011673697736114264
1973,0.00011611231457209215
1974,0.00011695218563545495
1975,0.0001210664413520135
1976,0.00011577044642763212
1977,0.00011649491352727637
1978,0.00011543598520802334
1979,0.00011665760393952951
1980,0.0001148853189079091
1981,0.00011458343215053901
1982,0.00011523968714755028
1983,0.00011927301966352388
1984,0.00011578186240512878
1985,0.00011555766832316294
1986,0.00011857687786687165
1987,0.00011674293637042865
1988,0.0001194058422697708
1989,0.00011784447997342795
1990,0.00011698625894496217
1991,0.00011805170652223751
1992,0.00012306788994465023
1993,0.00011862711107823998
1994,0.00011943206482101232
1995,0.00011971747153438628
1996,0.00012101548054488376
1997,0.00012218375923112035
1998,0.00012278738722670823
1999,0.00012435068492777646
2000,0.00012463062012102455
2001,0.00012552285625133663
2002,0.00013015973672736436
2003,0.0001283734745811671
2004,0.00012979624443687499
2005,0.00013008514360990375
2006,0.00013085851969663054
2007,0.0001320380688412115
2008,0.00013742363080382347
2009,0.000132794986711815
2010,0.0001363209157716483
2011,0.00013557645434048027
2012,0.00012346150469966233
2013,0.000124469879665412
2014,0.00013218881213106215
2015,0.00013246588059701025
2016,0.00013017284800298512
2017,0.00013005692744627595
2018,0.00012614295701496303
2019,0.00013127281272318214
