,work
1990,0.0005648304941132665
1991,0.0005562520818784833
1992,0.0005719466134905815
1993,0.0005794476601295173
1994,0.0005757987964898348
1995,0.0005715189618058503
1996,0.0005923493881709874
1997,0.000588142778724432
1998,0.0005991298239678144
1999,0.0005942819989286363
2000,0.0005950896302238107
2001,0.0005895955255255103
2002,0.0006030146614648402
2003,0.0006065298803150654
2004,0.000610588991548866
2005,0.0006150414701551199
2006,0.0006074701668694615
2007,0.0006049117655493319
2008,0.0006004419992677867
2009,0.0006151346024125814
2010,0.0006170785054564476
2011,0.0005946771125309169
2012,0.0005667454097419977
2013,0.0006000341381877661
2014,0.0005963664152659476
2015,0.0005989038618281484
2016,0.0006147724925540388
2017,0.0005962559953331947
2018,0.0005577441770583391
2019,0.00058500882005319
