,support
1971,0.0002189527585869655
1972,0.00021893689699936658
1973,0.00022311252541840076
1974,0.00022812915267422795
1975,0.00023390278511215
1976,0.00023880245862528682
1977,0.0002466891019139439
1978,0.00025027687661349773
1979,0.00024811713956296444
1980,0.00025674758944660425
1981,0.0002595171390566975
1982,0.000258726067841053
1983,0.00026458155480213463
1984,0.00027196240262128413
1985,0.0002724974765442312
1986,0.0002756499743554741
1987,0.00027368171140551567
1988,0.0002814137260429561
1989,0.0002761411014944315
1990,0.0002840608940459788
1991,0.0002841286768671125
1992,0.00028496465529315174
1993,0.0002832614991348237
1994,0.00028743516304530203
1995,0.0002885404392145574
1996,0.00028559722704812884
1997,0.0002922076964750886
1998,0.0002923664287663996
1999,0.00029528510640375316
2000,0.0002839637454599142
2001,0.0002787343692034483
2002,0.00027903757290914655
2003,0.0002739851188380271
2004,0.00027366087306290865
2005,0.00026713527040556073
2006,0.0002601205196697265
2007,0.0002511079655960202
2008,0.00023714896815363318
2009,0.0002300072374055162
2010,0.00022941624047234654
2011,0.0002164297766285017
2012,0.00020308054808992893
2013,0.00021158659365028143
2014,0.0002009378222282976
2015,0.00020164974557701498
2016,0.0002106753527186811
2017,0.000184179050847888
2018,0.00017916715296451002
2019,0.00019123946549370885
