,find
1891,0.00028659499366767704
1892,0.00028774546808563173
1893,0.0002816274354699999
1894,0.0002883524284698069
1895,0.0002698314201552421
1896,0.00027477872208692133
1897,0.0002676077710930258
1898,0.0002675229625310749
1899,0.00027489010244607925
1900,0.0002674811112228781
1901,0.00025812964304350317
1902,0.00026070530293509364
1903,0.00025795132387429476
1904,0.0002588205970823765
1905,0.0002505330485291779
1906,0.0002540761197451502
1907,0.00024860716075636446
1908,0.0002502193965483457
1909,0.00025002684560604393
1910,0.00024428038159385324
1911,0.00023770671396050602
1912,0.00024286113330163062
1913,0.0002392479800619185
1914,0.00023842595692258328
1915,0.00023115338990464807
1916,0.00023311868426389992
1917,0.0002242462505819276
1918,0.00022615777561441064
1919,0.0002271838893648237
1920,0.00023415997566189617
1921,0.00023003376554697752
1922,0.0002368306159041822
1923,0.00023697782307863235
1924,0.00024442633730359375
1925,0.00023420243815053254
1926,0.0002389612200204283
1927,0.00023946758301462978
1928,0.0002369535359321162
1929,0.0002350491558900103
1930,0.00023534978390671313
1931,0.00022728288604412228
1932,0.00022971152793616056
1933,0.00022233328490983695
1934,0.00023164195590652525
1935,0.00022443609486799687
1936,0.00022344560420606285
1937,0.00022045301739126444
1938,0.00022277813695836812
1939,0.0002188475918956101
1940,0.00022014148999005556
1941,0.00021290102449711412
1942,0.00022117859043646604
1943,0.0002156483387807384
1944,0.00021802409901283681
1945,0.00021176568407099694
1946,0.0002156890695914626
1947,0.00021547383221331984
1948,0.0002132908848579973
1949,0.00020174832025077194
1950,0.00020863644022028893
1951,0.0002135416871169582
1952,0.000218042972846888
1953,0.00021392364578787237
1954,0.00020952369959559292
1955,0.00021471949003171176
1956,0.00021598940656986088
1957,0.00021346421272028238
1958,0.0002135613322025165
1959,0.0002066526940325275
1960,0.00020884437253698707
1961,0.00020852532179560512
1962,0.00021057720005046576
1963,0.00020749813120346516
1964,0.0002055554068647325
1965,0.00020849290012847632
1966,0.00021241666399873793
1967,0.00020726707589346915
1968,0.00021006798488087952
1969,0.00020806376414839178
1970,0.00020401472283992916
1971,0.0001940676593221724
1972,0.00019186983990948647
1973,0.00018541682220529765
1974,0.00018743364489637315
1975,0.00018169065879192203
1976,0.00017912487965077162
1977,0.00017755341832526028
1978,0.00017452184692956507
1979,0.00017237763677258044
1980,0.00017446780111640692
1981,0.0001744228502502665
1982,0.000176200206624344
1983,0.0001745642366586253
1984,0.0001792583498172462
1985,0.00017685101192910224
1986,0.00018290762091055512
1987,0.00018246177933178842
1988,0.00018455529061611742
1989,0.00018232251750305295
1990,0.00018327528960071504
1991,0.00018760969396680593
1992,0.00018830859335139394
1993,0.0001881393836811185
1994,0.00018981615721713752
1995,0.00019399415759835392
1996,0.00020003016106784344
1997,0.0002085184823954478
1998,0.00021217660105321556
1999,0.00021707483392674476
2000,0.00022736041864845902
2001,0.00023073334887158126
2002,0.00023458460054825991
2003,0.00024448343901894987
2004,0.0002506505697965622
2005,0.0002498005051165819
2006,0.00025458651361986995
2007,0.00026253744727000594
2008,0.0002758185437414795
2009,0.0002925377048086375
2010,0.00030642631463706493
2011,0.0003179173800162971
2012,0.0002981472935061902
2013,0.000297059043077752
2014,0.0003273066831752658
2015,0.00032359358738176525
2016,0.0003100980829913169
2017,0.0003159760672133416
2018,0.00030940407305024564
2019,0.00032155163353309035
