,different
1905,0.00024327944265678525
1906,0.00024203851353377104
1907,0.0002455588837619871
1908,0.00024750380543991923
1909,0.0002484705182723701
1910,0.00025066983653232455
1911,0.00025389768416062
1912,0.0002535587700549513
1913,0.000252403347985819
1914,0.0002518687688279897
1915,0.00024947067140601575
1916,0.00025097402976825833
1917,0.0002429340675007552
1918,0.0002462488191667944
1919,0.0002436590875731781
1920,0.0002485892619006336
1921,0.0002493624051567167
1922,0.00025333749363198876
1923,0.00025703239953145385
1924,0.00026139733381569386
1925,0.000262950430624187
1926,0.0002651020768098533
1927,0.0002619769948069006
1928,0.00026404482196085155
1929,0.0002619983861222863
1930,0.0002652833645697683
1931,0.0002571151126176119
1932,0.0002661717007867992
1933,0.00026443079696036875
1934,0.000263954047113657
1935,0.0002601535525172949
1936,0.00025662966072559357
1937,0.00025954595184884965
1938,0.000262727786321193
1939,0.0002555861428845674
1940,0.0002511882339604199
1941,0.00024148693773895502
1942,0.00024484144523739815
1943,0.000235261075431481
1944,0.0002368123095948249
1945,0.00023253989638760686
1946,0.00023460894590243697
1947,0.0002468892198521644
1948,0.000253267033258453
1949,0.0002547306357882917
1950,0.0002604720648378134
1951,0.0002589068026281893
1952,0.0002689322573132813
1953,0.0002667821536306292
1954,0.00027395354118198156
1955,0.00027139726444147527
1956,0.0002798834175337106
1957,0.0002798040513880551
1958,0.0002892317424993962
1959,0.00029120472026988864
1960,0.0003016168193425983
1961,0.0003038221620954573
1962,0.0003120964393019676
1963,0.00031179754296317697
1964,0.0003178142651449889
1965,0.0003072500985581428
1966,0.00031511191627942026
1967,0.0003086283686570823
1968,0.0003160325577482581
1969,0.000311816023895517
1970,0.0003166759852319956
1971,0.00031675436184741557
1972,0.0003286234859842807
1973,0.00031928071985021234
1974,0.00032512701000086963
1975,0.000328249268932268
1976,0.0003264096158090979
1977,0.00033013822394423187
1978,0.0003297879302408546
1979,0.0003291027678642422
1980,0.00033723231172189116
1981,0.00033533168607391417
1982,0.00034059741301462054
1983,0.0003445560287218541
1984,0.00034627309651114047
1985,0.0003450521908234805
1986,0.00035433456650935113
1987,0.0003552206908352673
1988,0.00035630466300062835
1989,0.0003543721104506403
1990,0.0003604404628276825
1991,0.0003650438447948545
1992,0.0003656616900116205
1993,0.00036631623515859246
1994,0.0003725831338670105
1995,0.0003702876274473965
1996,0.00037841033190488815
1997,0.0003892238310072571
1998,0.0003958073502872139
1999,0.00039532181108370423
2000,0.00039857515366747975
2001,0.00039880347321741283
2002,0.0004186035948805511
2003,0.00042291765566915274
2004,0.0004235308151692152
2005,0.0004295007965993136
2006,0.0004269614873919636
2007,0.00042609480442479253
2008,0.00041538829100318253
2009,0.0004176619404461235
2010,0.0004210446204524487
2011,0.0004188093007542193
2012,0.00045449877507053316
2013,0.0004556681960821152
2014,0.000414317095419392
2015,0.00041604877333156765
2016,0.00044867367250844836
2017,0.00041265698382630944
2018,0.0004044927773065865
2019,0.00043013348476961255
