,old
1924,0.00034441816387698054
1925,0.00034757243702188134
1926,0.00034738524118438363
1927,0.0003542912600096315
1928,0.00034290473558939993
1929,0.0003470273222774267
1930,0.00034120443160645664
1931,0.0003221857186872512
1932,0.00032298604492098093
1933,0.00031089421827346087
1934,0.0003244131221435964
1935,0.00033137897844426334
1936,0.0003221961669623852
1937,0.0003370073973201215
1938,0.0003224958200007677
1939,0.00029634914244525135
1940,0.0002919044636655599
1941,0.00027379102539271116
1942,0.00028327410109341145
1943,0.00027183600468561053
1944,0.00028609082801267505
1945,0.0002729971893131733
1946,0.00028622697573155165
1947,0.00027326049166731536
1948,0.0002719752083066851
1949,0.0002635959826875478
1950,0.0002719416515901685
1951,0.00026576739037409425
1952,0.00026784182409755886
1953,0.0002628858492244035
1954,0.0002585078473202884
1955,0.0002509176847524941
1956,0.00025447734515182674
1957,0.00024105087504722178
1958,0.00024038710398599505
1959,0.00023580359993502498
1960,0.00024212367134168744
1961,0.00023692411195952445
1962,0.00023331637203227729
1963,0.0002333466400159523
1964,0.0002258270251331851
1965,0.0002352486626477912
1966,0.00023335404694080353
1967,0.00023465341655537486
1968,0.000246313342358917
1969,0.00023747116210870445
1970,0.00023550559126306325
1971,0.0002178384456783533
1972,0.0002222495386376977
1973,0.00021010208001825958
1974,0.00020640721777454019
1975,0.00020082971605006605
1976,0.00019993445312138647
1977,0.00019617726502474397
1978,0.00019516907923389226
1979,0.00019322046136949211
1980,0.00019532901933416724
1981,0.00019297692051623017
1982,0.00019766324840020388
1983,0.00019877309387084097
1984,0.00019487299141474068
1985,0.0001945119583979249
1986,0.00019801616144832224
1987,0.00020228695939294994
1988,0.00020014963229186833
1989,0.00020053180924151093
1990,0.00020442418463062495
1991,0.0002024249406531453
1992,0.00020534663053695112
1993,0.0002079254772979766
1994,0.0002049920440185815
1995,0.00020107848104089499
1996,0.00020866651902906597
1997,0.00021002443099860102
1998,0.00021672829461749643
1999,0.00022116214677225798
2000,0.00023491833417210728
2001,0.00023504886485170573
2002,0.00023519793467130512
2003,0.0002400732773821801
2004,0.00025433674454689026
2005,0.0002520566922612488
2006,0.0002622232714202255
2007,0.0002704670769162476
2008,0.0002968420449178666
2009,0.00030909018823876977
2010,0.0003095770953223109
2011,0.00031724225846119225
2012,0.0002920660190284252
2013,0.0002978002594318241
2014,0.00032545134308747947
2015,0.00032264721812680364
2016,0.00029844159143976867
2017,0.0003438252315390855
2018,0.0003505334898363799
2019,0.00034716137452051044
