,people
1967,0.0005144948954693973
1968,0.0005168166826479137
1969,0.0005363517557270825
1970,0.0005343731609173119
1971,0.0005338112823665142
1972,0.0005169062060303986
1973,0.0004949934664182365
1974,0.0004987638094462454
1975,0.0004839463799726218
1976,0.0004801271134056151
1977,0.00047956628259271383
1978,0.000471095263492316
1979,0.0004646533343475312
1980,0.0004683618026319891
1981,0.0004505822726059705
1982,0.00046006470802240074
1983,0.0004572088655550033
1984,0.00046459242003038526
1985,0.00044953281758353114
1986,0.0004655884113162756
1987,0.00046134914737194777
1988,0.00047654853551648557
1989,0.00047510332660749555
1990,0.0004887281684204936
1991,0.0004902060609310865
1992,0.0005054972134530544
1993,0.000500484078656882
1994,0.0005136949475854635
1995,0.0005129798082634807
1996,0.0005297588650137186
1997,0.0005380204529501498
1998,0.0005538223776966333
1999,0.0005585181643255055
2000,0.0005788247799500823
2001,0.0005839311052113771
2002,0.0006022434681653976
2003,0.0006100005703046918
2004,0.0006297316285781562
2005,0.0006437207339331508
2006,0.0006443758029490709
2007,0.0006539450259879231
2008,0.0006510362145490944
2009,0.0007015443406999111
2010,0.0007249193731695414
2011,0.0007246185559779406
2012,0.0006519820308312774
2013,0.0006645415560342371
2014,0.0007005681982263923
2015,0.0007270704954862595
2016,0.0007229121401906013
2017,0.0007212684140540659
2018,0.0006913993274793029
2019,0.0007403456838801503
