,l
2003,0.0001211716080433689
2004,0.00011257203004788607
2005,0.00010693748481571674
2006,9.79820906650275e-05
2007,9.40291429287754e-05
2008,8.616139530204237e-05
2009,7.871739944675937e-05
2010,7.345763879129663e-05
2011,7.080462091835216e-05
2012,7.170580647652969e-05
2013,6.938074511708692e-05
2014,4.931844523525797e-05
2015,4.665318192564882e-05
2016,5.4390227887779474e-05
2017,5.738730760640465e-05
2018,5.6378306908300146e-05
2019,4.899402483715676e-05
