,class
1973,0.0001544814876979217
1974,0.0001562098041176796
1975,0.00015723201795481145
1976,0.0001530829322291538
1977,0.00015870496281422675
1978,0.0001527874410385266
1979,0.0001520555670140311
1980,0.0001495668402640149
1981,0.0001527702115708962
1982,0.00015220246859826148
1983,0.00014271687541622669
1984,0.00014230429951567203
1985,0.00014749642286915332
1986,0.00014488064334727824
1987,0.00015028059715405107
1988,0.00014657336578238755
1989,0.000148348743095994
1990,0.0001526868436485529
1991,0.00015227067342493683
1992,0.00015285586414393038
1993,0.00015523623733315617
1994,0.00016245368169620633
1995,0.00015960117161739618
1996,0.00016569698345847428
1997,0.00017333190771751106
1998,0.0001766775967553258
1999,0.0001735819096211344
2000,0.0001737862912705168
2001,0.000170422499650158
2002,0.00019370233349036425
2003,0.00018849698244594038
2004,0.00018223992083221674
2005,0.0001785110216587782
2006,0.00018136245489586145
2007,0.00017137598479166627
2008,0.00017696295981295407
2009,0.00017177620611619204
2010,0.0001726945920381695
2011,0.00015946126950439066
2012,0.00015217425243463367
2013,0.000162294993060641
2014,0.00015751995670143515
2015,0.00015102507313713431
2016,0.00015497577260248363
2017,0.0001426591770723462
2018,0.00013380323071032763
2019,0.000139409487019293
