,children
1934,0.00022792306845076382
1935,0.00022815691772848368
1936,0.00022981678193900734
1937,0.00024074685643427074
1938,0.00023710129607934505
1939,0.0002417861542198807
1940,0.00023457554925698787
1941,0.00022992143931332976
1942,0.00022891059052199125
1943,0.00022633200569543988
1944,0.00022247235756367445
1945,0.00022091224673204124
1946,0.0002260499750263989
1947,0.00023003527894616127
1948,0.0002217102301074192
1949,0.00022183115652296692
1950,0.00022204002016223967
1951,0.00021712467423640192
1952,0.00022036919835954905
1953,0.00021865105372853577
1954,0.0002265216753585264
1955,0.00022993858146946877
1956,0.00022262753918766975
1957,0.00021803115669172257
1958,0.00022155596525408328
1959,0.00021799476235173643
1960,0.0002265906659886241
1961,0.00020919849339406937
1962,0.00020563222642522305
1963,0.0002148384810425341
1964,0.00022041177726350725
1965,0.00021919218124821782
1966,0.00022900363546796143
1967,0.00024217380268964916
1968,0.00023492939362768084
1969,0.00024857863900251687
1970,0.00025666767032817006
1971,0.0002563901653047651
1972,0.00026364438235759735
1973,0.0002428938023513183
1974,0.0002475410874467343
1975,0.0002445923164486885
1976,0.00024306963314302266
1977,0.00024836076772771776
1978,0.0002582054876256734
1979,0.0002449200546834618
1980,0.00024068764469120651
1981,0.00023797297035343945
1982,0.00024898667470552027
1983,0.00024804368149489164
1984,0.00023825209063943475
1985,0.00024207757087424397
1986,0.00023660484293941408
1987,0.00024737618514336646
1988,0.00025444329367019236
1989,0.00024858751567080617
1990,0.00025751374778337777
1991,0.00026482759858481586
1992,0.0002703474892769009
1993,0.0003022600430995226
1994,0.0002793005551211536
1995,0.000280684296740219
1996,0.00028883220511488616
1997,0.00030022813007235527
1998,0.0003081749309785664
1999,0.0003107988159172237
2000,0.0003081795875914395
2001,0.0003071668033953756
2002,0.00031420853338204324
2003,0.00031172813032753766
2004,0.0003192370350006968
2005,0.00032703447504900396
2006,0.00031502562342211604
2007,0.0003093649575021118
2008,0.0003172570141032338
2009,0.00032475689658895135
2010,0.00032495122286491096
2011,0.0003203875385224819
2012,0.000303267763229087
2013,0.00032203091541305184
2014,0.0003177005855832249
2015,0.00031004895572550595
2016,0.00030170995160005987
2017,0.0003145101072732359
2018,0.00027963100001215935
2019,0.00027998245786875486
