,end
1941,0.00030277742189355195
1942,0.0003135460428893566
1943,0.00031280581606552005
1944,0.0003237095079384744
1945,0.0003227461129426956
1946,0.0003248461289331317
1947,0.0003192292351741344
1948,0.00032017374178394675
1949,0.00031979079358279705
1950,0.00032701829331927
1951,0.00033013272332027555
1952,0.00033842891571111977
1953,0.0003280910023022443
1954,0.0003279819793533534
1955,0.00031798574491403997
1956,0.0003278772346675396
1957,0.00031626111012883484
1958,0.00031973127624951303
1959,0.00031554076122120023
1960,0.0003107189550064504
1961,0.00030572994728572667
1962,0.00030900773708708584
1963,0.0002982298901770264
1964,0.00030654255533590913
1965,0.00030073788366280496
1966,0.00030134068219922483
1967,0.00028956637834198773
1968,0.0002907502348534763
1969,0.0002829416480381042
1970,0.00027955626137554646
1971,0.000278311810689047
1972,0.0002789983991533518
1973,0.00027075293473899364
1974,0.00027691497234627604
1975,0.0002745435631368309
1976,0.0002717651368584484
1977,0.0002657495206221938
1978,0.00025790746440179646
1979,0.0002623404434416443
1980,0.00026740270550362766
1981,0.00026804712251760066
1982,0.0002593790995888412
1983,0.0002702101191971451
1984,0.00027444318402558565
1985,0.00027080834843218327
1986,0.00027583082555793226
1987,0.0002757408074103296
1988,0.0002777057234197855
1989,0.0002735194575507194
1990,0.00027617800515145063
1991,0.0002786647528409958
1992,0.00027725205291062593
1993,0.0002736355527304113
1994,0.0002793148742057383
1995,0.0002779850037768483
1996,0.0002844897680915892
1997,0.00028634213958866894
1998,0.00029065311537124217
1999,0.00029219704447314143
2000,0.00029900670051574707
2001,0.0002947488392237574
2002,0.00029628307675011456
2003,0.0002926423621829599
2004,0.00029733582050539553
2005,0.00029618354164995253
2006,0.00029817200265824795
2007,0.0003029012295883149
2008,0.0003061709285248071
2009,0.0003098855377174914
2010,0.00032024807296693325
2011,0.0003209015412721783
2012,0.00030404498102143407
2013,0.00030820316169410944
2014,0.00031559730996377766
2015,0.00031839273287914693
2016,0.0003107745433226228
2017,0.00030748549033887684
2018,0.00029966922011226416
2019,0.00030548273934982717
