,property
1883,0.00027387909358367324
1884,0.00028777369880117476
1885,0.00028539172490127385
1886,0.00033481346326880157
1887,0.0003172507858835161
1888,0.0003065946220885962
1889,0.0002918138634413481
1890,0.0002990822831634432
1891,0.00029952111071906984
1892,0.0002967880282085389
1893,0.00029289652593433857
1894,0.00030784786213189363
1895,0.0003211770090274513
1896,0.000297143473289907
1897,0.0003030842635780573
1898,0.0003013295354321599
1899,0.00028831895906478167
1900,0.000291291595203802
1901,0.00032228106283582747
1902,0.00028167988057248294
1903,0.0002980860590469092
1904,0.00029206136241555214
1905,0.00031913508428260684
1906,0.00034948374377563596
1907,0.00031773257069289684
1908,0.0003135682491119951
1909,0.0003339078393764794
1910,0.0003201965882908553
1911,0.0003232549352105707
1912,0.0003346027515362948
1913,0.00031862672767601907
1914,0.00035011250292882323
1915,0.0003686316777020693
1916,0.000343784864526242
1917,0.00034334324300289154
1918,0.0003256175550632179
1919,0.00032491653109900653
1920,0.0003150324337184429
1921,0.00032185332383960485
1922,0.0003290957538411021
1923,0.0003112773993052542
1924,0.00030502688605338335
1925,0.00031002998002804816
1926,0.00031171468435786664
1927,0.0003110899415332824
1928,0.0003037847054656595
1929,0.00029099988751113415
1930,0.00028626530547626317
1931,0.00032176292734220624
1932,0.0002950812049675733
1933,0.00030374701600521803
1934,0.0002713806461542845
1935,0.00029049915610812604
1936,0.00030595401767641306
1937,0.00028422806644812226
1938,0.00027284532552585006
1939,0.00030199618777260184
1940,0.0002831698802765459
1941,0.00027782045071944594
1942,0.0002712248242460191
1943,0.0002736982423812151
1944,0.00025331266806460917
1945,0.0002649649395607412
1946,0.00023388916451949626
1947,0.0002493743086233735
1948,0.00023521381081081927
1949,0.0002537176478654146
1950,0.00021998734155204147
1951,0.0002282483910676092
1952,0.00022841057216282934
1953,0.0002392695314483717
1954,0.00025718618417158723
1955,0.00023591157514601946
1956,0.00021556064893957227
1957,0.00023539272660855204
1958,0.00020271417452022433
1959,0.00022255527437664568
1960,0.0002104345621773973
1961,0.0002092483191518113
1962,0.00019580275693442672
1963,0.0002008234878303483
1964,0.00017360538186039776
1965,0.0001940695510711521
1966,0.00018627193639986217
1967,0.0001960643712664023
1968,0.00018714985344558954
1969,0.0001922984520206228
1970,0.00018783209088724107
1971,0.00020150038471911103
1972,0.00020076755026821047
1973,0.00019187125144526362
1974,0.0001825632352847606
1975,0.0001951060548890382
1976,0.0001877560280263424
1977,0.00019477227760944515
1978,0.00020176239195279777
1979,0.00019520676869433373
1980,0.00017917761579155922
1981,0.00019072703435085714
1982,0.00020244752522557974
1983,0.00019739309209398925
1984,0.00018233580340165645
1985,0.0001821816258598119
1986,0.0001810613612178713
1987,0.00019024009816348553
1988,0.000187372206710279
1989,0.00018261359946336597
1990,0.00018481817096471786
1991,0.00018446681497152895
1992,0.00019793301180470735
1993,0.00019322765001561493
1994,0.00018986576469615102
1995,0.00020167460024822503
1996,0.00019002615590579808
1997,0.00020053083426319063
1998,0.00019504394731484354
1999,0.0001993960322579369
2000,0.0001893909793579951
2001,0.00019846578652504832
2002,0.0001984841946978122
2003,0.00018501491285860538
2004,0.000180347531568259
2005,0.00017506552103441209
2006,0.0001803966297302395
2007,0.00016675840015523136
2008,0.00017208386270795017
2009,0.00015184644144028425
2010,0.00014271726831793785
2011,0.00012201504432596266
2012,0.0001121005043387413
2013,0.00010770729568321258
2014,0.00010305255273124203
2015,0.00010274456144543365
2016,0.00010858642781386152
2017,9.4872091722209e-05
2018,9.530886018183082e-05
2019,9.493887046119198e-05
