,must
1911,0.0007134925108402967
1912,0.0007295893738046288
1913,0.0007146705174818635
1914,0.0007373493863269687
1915,0.0007285482133738697
1916,0.0007210344774648547
1917,0.0007481751381419599
1918,0.0007695500971749425
1919,0.000739521230570972
1920,0.0007429818506352603
1921,0.0007235723896883428
1922,0.0007231784402392805
1923,0.0007014884613454342
1924,0.000705111538991332
1925,0.0006813193904235959
1926,0.0006874100072309375
1927,0.0006848388002254069
1928,0.0006761286058463156
1929,0.0006647060508839786
1930,0.0006764605641365051
1931,0.0007238171529024839
1932,0.0006755765061825514
1933,0.0006598385516554117
1934,0.0006737940129823983
1935,0.0006597046158276498
1936,0.0006650713039562106
1937,0.0006558342720381916
1938,0.0006699568475596607
1939,0.0006624861271120608
1940,0.0006720182136632502
1941,0.0006637676851823926
1942,0.0007102681556716561
1943,0.000703427183907479
1944,0.0006997950258664787
1945,0.0006633834564127028
1946,0.0006717678625136614
1947,0.0006658581551164389
1948,0.0006680929218418896
1949,0.0006546521908603609
1950,0.0006564983632415533
1951,0.0006560261244885623
1952,0.0006773783243261278
1953,0.0006404616869986057
1954,0.0006353918579407036
1955,0.0006338561070151627
1956,0.0006460294825956225
1957,0.00063789525302127
1958,0.0006478611030615866
1959,0.000633581483270973
1960,0.0006532054394483566
1961,0.0006534458370879292
1962,0.0006459563155658543
1963,0.0006448502535931766
1964,0.0006379715632647276
1965,0.0006342451088130474
1966,0.0006485089543275535
1967,0.0006365639856085181
1968,0.0006531437393277884
1969,0.0006443195743486285
1970,0.0006383961881510913
1971,0.0006337949307635427
1972,0.0006276502972468734
1973,0.000595742603763938
1974,0.0006050806841813028
1975,0.0006053944234736264
1976,0.0005870417226105928
1977,0.0005850762245245278
1978,0.0005833820323459804
1979,0.0005782460211776197
1980,0.000575571961235255
1981,0.0005690475809387863
1982,0.0005805718246847391
1983,0.0005701130721718073
1984,0.0005658877780660987
1985,0.0005668799858540297
1986,0.0005662204930558801
1987,0.0005741125205531716
1988,0.0005717972526326776
1989,0.0005614595138467848
1990,0.000570203410461545
1991,0.0005741403438150883
1992,0.0005774306482635438
1993,0.0005629596416838467
1994,0.0005577608244493604
1995,0.0005604965845122933
1996,0.0005699892062693834
1997,0.0005648593069054186
1998,0.0005723003414459527
1999,0.0005716722225770354
2000,0.000566942326258868
2001,0.0005629461375065148
2002,0.0005662412731908262
2003,0.0005707000382244587
2004,0.000562405155505985
2005,0.000555087230168283
2006,0.0005604787147603929
2007,0.0005536933895200491
2008,0.0005695450818166137
2009,0.0005634152912534773
2010,0.0005476473597809672
2011,0.000528218224644661
2012,0.0005123595474287868
2013,0.0005239927559159696
2014,0.0005152749363332987
2015,0.0004993211477994919
2016,0.0004890999989584088
2017,0.0004987538559362292
2018,0.000519868393894285
2019,0.000499191228300333
