,law
1905,0.00043225547415204346
1906,0.0004644670116249472
1907,0.00044837273890152574
1908,0.00044096907367929816
1909,0.00044736117706634104
1910,0.0004630961630027741
1911,0.0004677799006458372
1912,0.0004710687499027699
1913,0.0004401564074214548
1914,0.0004614635545294732
1915,0.00047343442565761507
1916,0.0004493815067689866
1917,0.00044315613922663033
1918,0.00041705172043293715
1919,0.0004024442459922284
1920,0.0003850463835988194
1921,0.0004062506777700037
1922,0.0004069399437867105
1923,0.0004069196293130517
1924,0.0004142959660384804
1925,0.00038235567626543343
1926,0.000413339032093063
1927,0.0003734160272870213
1928,0.0003769439354073256
1929,0.00036538788117468357
1930,0.0003739739186130464
1931,0.0003709770680870861
1932,0.00037379638524726033
1933,0.00036407465813681483
1934,0.0003724550479091704
1935,0.0003780191473197192
1936,0.00038192261126823723
1937,0.00038756930734962225
1938,0.00038218387635424733
1939,0.0003904944460373372
1940,0.0003649851423688233
1941,0.0003779496473725885
1942,0.0003362238348927349
1943,0.0003485395573079586
1944,0.0003241560480091721
1945,0.0003374907246325165
1946,0.00032098591327667236
1947,0.00035372981801629066
1948,0.00035103419213555753
1949,0.00036502251168712974
1950,0.0003426212933845818
1951,0.0003417199186515063
1952,0.0003404383605811745
1953,0.00034134418820030987
1954,0.000343916384736076
1955,0.0003494906413834542
1956,0.0003249965375289321
1957,0.000346873770467937
1958,0.0003251051821280271
1959,0.0003388787154108286
1960,0.0003221897059120238
1961,0.00032381113851442933
1962,0.0003036997513845563
1963,0.000308343704091385
1964,0.0002954634837806225
1965,0.0003206162655260414
1966,0.00030150372185744345
1967,0.00031612953171133995
1968,0.00032075264607556164
1969,0.0003066839126404375
1970,0.0003085258067585528
1971,0.0003214059688616544
1972,0.0002995486429426819
1973,0.00031253561610355973
1974,0.0003017377166543156
1975,0.0003106356307398528
1976,0.00031090827542357147
1977,0.00030341610545292497
1978,0.00030621912446804345
1979,0.0002999890421051532
1980,0.0002955200325231999
1981,0.00029601866845041513
1982,0.0003026556223630905
1983,0.00029033090686425567
1984,0.00029157655080780387
1985,0.00029826140962541103
1986,0.00029387493850663304
1987,0.00031139893690124154
1988,0.0002974523522425443
1989,0.00030032717040739954
1990,0.0002998946001753211
1991,0.00030417187372222543
1992,0.0003094238636549562
1993,0.0003056539862882346
1994,0.0003056541318073869
1995,0.0003193564771208912
1996,0.0003263999242335558
1997,0.00033380292006768286
1998,0.00033898427500389516
1999,0.00034575132303871214
2000,0.00032651209039613605
2001,0.0003312854387331754
2002,0.0003318859380669892
2003,0.0003202830266673118
2004,0.0003035689878743142
2005,0.0003002612211275846
2006,0.0002978273550979793
2007,0.0002980933932121843
2008,0.0002958436089102179
2009,0.0002835070190485567
2010,0.00026244859327562153
2011,0.00023677991703152657
2012,0.0002205152704846114
2013,0.00023226195480674505
2014,0.00022222600819077343
2015,0.0002283027279190719
2016,0.000258394458796829
2017,0.00023903169494587928
2018,0.00023820716887712479
2019,0.00023328317911364138
