,per
1969,0.0005493288044817746
1970,0.0005490003386512399
1971,0.0005445004790090024
1972,0.000543704372830689
1973,0.0005221058381721377
1974,0.0005302406498230994
1975,0.0005174397374503314
1976,0.0005085964221507311
1977,0.0004941923543810844
1978,0.0004785294586326927
1979,0.0004746091435663402
1980,0.0004687842447310686
1981,0.00045696552842855453
1982,0.0004447339160833508
1983,0.000434841524111107
1984,0.00040302713750861585
1985,0.0003988805692642927
1986,0.0004048748523928225
1987,0.0003795875236392021
1988,0.0003866524202749133
1989,0.0003717311192303896
1990,0.0003649731515906751
1991,0.0003533140115905553
1992,0.00034765215241350234
1993,0.00034881726605817676
1994,0.0003373454965185374
1995,0.00033615881693549454
1996,0.00032667588675394654
1997,0.0003253445029258728
1998,0.00031870463863015175
1999,0.0003104596398770809
2000,0.0002919230901170522
2001,0.0002941505517810583
2002,0.0002905107394326478
2003,0.0002950384805444628
2004,0.0002708705433178693
2005,0.00027969147777184844
2006,0.00026354441069997847
2007,0.00025876815197989345
2008,0.00023785476514603943
2009,0.00021549509256146848
2010,0.00020739804313052446
2011,0.00018532664398662746
2012,0.00019181816605851054
2013,0.00020081237016711384
2014,0.000165246645337902
2015,0.00016104959649965167
2016,0.00018838756659533828
2017,0.00015650296700187027
2018,0.00013867157394997776
2019,0.00014350535639096051
