,school
1994,0.00020285842765588313
1995,0.00020843134552706033
1996,0.00021169427782297134
1997,0.00022165992413647473
1998,0.00022362354502547532
1999,0.00022975014871917665
2000,0.00022481291671283543
2001,0.0002259438333567232
2002,0.00023125276493374258
2003,0.00022255572548601776
2004,0.00023297322331927717
2005,0.00024139595916494727
2006,0.00023107971355784684
2007,0.00023086753208190203
2008,0.000225681287702173
2009,0.00023849774152040482
2010,0.0002315728343091905
2011,0.00022544298553839326
2012,0.00020318660244811326
2013,0.00021870651107747108
2014,0.00021949413348920643
2015,0.0002191265521105379
2016,0.00020928109006490558
2017,0.00019365827029105276
2018,0.00018338829977437854
2019,0.00019678832904901356
