,know
1888,0.0003588942636270076
1889,0.00037250647437758744
1890,0.00035602436400949955
1891,0.0003648099082056433
1892,0.00036772526800632477
1893,0.00036524937604554
1894,0.0003740163519978523
1895,0.0003486496570985764
1896,0.000361663376679644
1897,0.00033079340937547386
1898,0.0003396991523914039
1899,0.00038686400512233377
1900,0.00038280454464256763
1901,0.00035454650060273707
1902,0.00033985055051743984
1903,0.0003370818158145994
1904,0.00034111301647499204
1905,0.00032136146910488605
1906,0.00033106698538176715
1907,0.0003238299395889044
1908,0.0003451828961260617
1909,0.0003372458158992231
1910,0.00032123911660164595
1911,0.0003303878183942288
1912,0.00033917848486453295
1913,0.0003317043010611087
1914,0.000317511847242713
1915,0.0002977891417685896
1916,0.00033007835736498237
1917,0.0003086824726779014
1918,0.0003152129065711051
1919,0.00033366333809681237
1920,0.0003343138669151813
1921,0.00031511663109995425
1922,0.0003176906320732087
1923,0.0003152566496282816
1924,0.0003464666660875082
1925,0.00031553980079479516
1926,0.0003196566249243915
1927,0.0003063660697080195
1928,0.0003189187264069915
1929,0.00031877789297141135
1930,0.00031195860356092453
1931,0.0002911122574005276
1932,0.0002957069082185626
1933,0.00028751432546414435
1934,0.000315442361170426
1935,0.0003096603904850781
1936,0.00031079803011380136
1937,0.0002896638179663569
1938,0.0002941862621810287
1939,0.00029909220756962895
1940,0.0002895476936828345
1941,0.0002942410937976092
1942,0.0003129042452201247
1943,0.0003297958173789084
1944,0.0003260195371694863
1945,0.00031900423346087337
1946,0.0003383336297702044
1947,0.0003256180789321661
1948,0.0003213292802684009
1949,0.0002870718017220497
1950,0.0003139738691970706
1951,0.00033259447081945837
1952,0.0003281601530034095
1953,0.0003127316012978554
1954,0.000301245367154479
1955,0.0003156336606480181
1956,0.00031469640089198947
1957,0.0003151587152387947
1958,0.0002985783212352544
1959,0.0002821444359142333
1960,0.0002763233205769211
1961,0.00027755810879170895
1962,0.0002756406320258975
1963,0.00026969806640408933
1964,0.0002805307740345597
1965,0.00027285359101369977
1966,0.0002793612366076559
1967,0.00028182598180137575
1968,0.0002836020721588284
1969,0.000284165667835623
1970,0.00028224062407389283
1971,0.00025912720593623817
1972,0.00026134212384931743
1973,0.0002567893243394792
1974,0.00026398530462756753
1975,0.00024617635062895715
1976,0.00024858079268597066
1977,0.0002451840555295348
1978,0.00024413500796072185
1979,0.00024304637918248773
1980,0.0002445781137794256
1981,0.0002400915400357917
1982,0.00024479383137077093
1983,0.00024482933804392815
1984,0.00025417539291083813
1985,0.0002472183550707996
1986,0.00025960520724765956
1987,0.00026234780671074986
1988,0.000270244141574949
1989,0.00026996969245374203
1990,0.00027203865465708077
1991,0.0002773819724097848
1992,0.0002785497053992003
1993,0.0002774904132820666
1994,0.00029041978996247053
1995,0.0002839641529135406
1996,0.00029988892492838204
1997,0.0003145257069263607
1998,0.00031437264988198876
1999,0.00032549590105190873
2000,0.00037007720675319433
2001,0.00037605169927701354
2002,0.0003921416646335274
2003,0.0004099409852642566
2004,0.000423380930442363
2005,0.00043843890307471156
2006,0.0004507269768510014
2007,0.0004754977417178452
2008,0.000519885215908289
2009,0.000592165975831449
2010,0.0006231790757738054
2011,0.0006931840907782316
2012,0.0006495105335488915
2013,0.0006395051022991538
2014,0.0007767631323076785
2015,0.0007448431570082903
2016,0.0006846229080110788
2017,0.0007571465685032308
2018,0.0007354194531217217
2019,0.0007428398821502924
