,however
1942,0.00031599070644006133
1943,0.00030832664924673736
1944,0.00030717728077434003
1945,0.0003079088928643614
1946,0.0003142039349768311
1947,0.0003181260544806719
1948,0.0003205245593562722
1949,0.00032105515128932893
1950,0.0003285750572104007
1951,0.00031727945315651596
1952,0.00032166289747692645
1953,0.00031329263583756983
1954,0.0003163212677463889
1955,0.0003149301337543875
1956,0.00031744016450829804
1957,0.000312521995510906
1958,0.0003191336872987449
1959,0.0003142902860417962
1960,0.0003206494729965925
1961,0.00031894934363663197
1962,0.00032189523335546255
1963,0.00032092645415104926
1964,0.0003221839142497629
1965,0.0003168392868246883
1966,0.00031816010596230626
1967,0.0003148186660837382
1968,0.000320763501804322
1969,0.0003198233898729086
1970,0.00031386595219373703
1971,0.00031115254387259483
1972,0.0003097459557466209
1973,0.0003004058380611241
1974,0.00030092819361016154
1975,0.0003004689933732152
1976,0.0002971558424178511
1977,0.00029420858481898904
1978,0.0002879929088521749
1979,0.0002903194399550557
1980,0.00029361777706071734
1981,0.0002886276924982667
1982,0.0002906575391534716
1983,0.0002892997581511736
1984,0.0002844130212906748
1985,0.00028245674911886454
1986,0.0002862016553990543
1987,0.00027990309172309935
1988,0.000279248837614432
1989,0.0002708825340960175
1990,0.0002717678144108504
1991,0.00027116385172121227
1992,0.0002689506800379604
1993,0.0002650845272000879
1994,0.00026175109087489545
1995,0.00025698033277876675
1996,0.0002641404280439019
1997,0.000264714821241796
1998,0.00026739080203697085
1999,0.00026291669928468764
2000,0.0002585755428299308
2001,0.00025484643992967904
2002,0.0002587167255114764
2003,0.00025302532594650984
2004,0.0002540409623179585
2005,0.0002478799142409116
2006,0.0002511421625968069
2007,0.0002495368826203048
2008,0.0002486055309418589
2009,0.00023881271772552282
2010,0.00023333604622166604
2011,0.00021705334074795246
2012,0.00022493998403660953
2013,0.0002386542473686859
2014,0.0002157873968826607
2015,0.00021683283557649702
2016,0.0002243901399197057
2017,0.00020924994896631688
2018,0.0002128282649209723
2019,0.00021007281611673534
