,even
1968,0.00044698730926029384
1969,0.00044152638292871416
1970,0.00043914339039474726
1971,0.0004234826483298093
1972,0.00042656599543988705
1973,0.0004110488516744226
1974,0.00041674336534924805
1975,0.00040759469266049564
1976,0.0004009116382803768
1977,0.0003991506528109312
1978,0.0003995753650087863
1979,0.0003975823929067701
1980,0.0004049611452501267
1981,0.00039932888466864824
1982,0.00040969523251987994
1983,0.0004104438703507185
1984,0.0004105008265469223
1985,0.0004049804119858891
1986,0.00041924809920601547
1987,0.0004170202591922134
1988,0.0004198201058898121
1989,0.0004165385907981545
1990,0.000421456788899377
1991,0.00042510361527092755
1992,0.0004263066512066871
1993,0.0004228395118843764
1994,0.00042584282346069813
1995,0.00042333902092650533
1996,0.0004423529317136854
1997,0.0004491628205869347
1998,0.00046240276424214244
1999,0.00047230388736352324
2000,0.0004908907576464117
2001,0.0004925909452140331
2002,0.0005123006412759423
2003,0.0005184447509236634
2004,0.0005310610868036747
2005,0.0005353352171368897
2006,0.0005453921039588749
2007,0.0005631184903904796
2008,0.0005768983392044902
2009,0.0006153163849376142
2010,0.0006324570276774466
2011,0.0006529738311655819
2012,0.0006217292975634336
2013,0.000632347131613642
2014,0.0006827269680798054
2015,0.0006801377166993916
2016,0.0006636416655965149
2017,0.0006745338905602694
2018,0.0006527696968987584
2019,0.0007116789929568768
