,state
1927,0.00041635081288404763
1928,0.0003911394451279193
1929,0.0004074983880855143
1930,0.0004132335016038269
1931,0.0004516090848483145
1932,0.00041439570486545563
1933,0.0004436991293914616
1934,0.00039441659464500844
1935,0.0004284190363250673
1936,0.00044634551159106195
1937,0.00045544185559265316
1938,0.00042537329136393964
1939,0.000441216048784554
1940,0.00040495957364328206
1941,0.00042578805005177855
1942,0.0003868833009619266
1943,0.00041064468678086996
1944,0.00037550076376646757
1945,0.0003964282223023474
1946,0.00036105516483075917
1947,0.0003906522470060736
1948,0.00039655982982367277
1949,0.00042023317655548453
1950,0.0003730657044798136
1951,0.00037184206303209066
1952,0.00037030046223662794
1953,0.0003810698399320245
1954,0.0004305996699258685
1955,0.00039415937499143183
1956,0.0003633586165960878
1957,0.00040834039100445807
1958,0.0003643375530373305
1959,0.000396799820009619
1960,0.00039057410322129726
1961,0.0003900502633769065
1962,0.0003672716848086566
1963,0.00038728065555915236
1964,0.0003711604804266244
1965,0.00039159716106951237
1966,0.00038077638600952923
1967,0.00042834412306547165
1968,0.000404933380195871
1969,0.00042601258610375226
1970,0.00040289555909112096
1971,0.0004295066464692354
1972,0.00041953459731303155
1973,0.0004282177542336285
1974,0.0004202148411422968
1975,0.0004477248585317284
1976,0.00042493126238696277
1977,0.0004481338837649673
1978,0.00044551389873959124
1979,0.00043181644286960363
1980,0.00042615458369255066
1981,0.0004495735338423401
1982,0.00045105363824404776
1983,0.00044058289495296776
1984,0.00043249025475233793
1985,0.0004500373615883291
1986,0.00044598005479201674
1987,0.00046503209159709513
1988,0.0004447676765266806
1989,0.000450465566245839
1990,0.00046160275815054774
1991,0.0004623545100912452
1992,0.0004645150329452008
1993,0.00045620559831149876
1994,0.00045398870133794844
1995,0.0004584352718666196
1996,0.0004616419319063425
1997,0.0004677791439462453
1998,0.00046117440797388554
1999,0.00046946803922764957
2000,0.00044983840780332685
2001,0.00045650036190636456
2002,0.000458713824627921
2003,0.0004443780053406954
2004,0.0004332521348260343
2005,0.00042868737364187837
2006,0.0004239336121827364
2007,0.0004178212257102132
2008,0.00040136874304153025
2009,0.00038247276097536087
2010,0.00035804565413855016
2011,0.00032687748898752034
2012,0.0003362940333317965
2013,0.00034666445571929216
2014,0.00031217443756759167
2015,0.0003207749396096915
2016,0.0003552217094693333
2017,0.00030951673397794366
2018,0.0003145480586681515
2019,0.0003195652680005878
