,report
1920,0.0002672818081919104
1921,0.0002780903596431017
1922,0.000262283137999475
1923,0.00027730624424293637
1924,0.0002718973846640438
1925,0.000283092784229666
1926,0.0002607804781291634
1927,0.0002683798084035516
1928,0.00026589850313030183
1929,0.00027179994503967464
1930,0.0002717868483159691
1931,0.00028868307708762586
1932,0.00026934867491945624
1933,0.00029557730886153877
1934,0.00027492453227750957
1935,0.0002777723129838705
1936,0.0002672663831617683
1937,0.00026585347950458527
1938,0.0002591002266854048
1939,0.0002864198759198189
1940,0.0002613731485325843
1941,0.0002814527542795986
1942,0.0002598243299871683
1943,0.0002659425954334438
1944,0.0002649530069902539
1945,0.00027534543187357485
1946,0.00027815348585136235
1947,0.0003061935130972415
1948,0.0002667846856638789
1949,0.0002832600730471313
1950,0.00026240956503897905
1951,0.00026206867187283933
1952,0.0002480549446772784
1953,0.0002601007290650159
1954,0.0002558998530730605
1955,0.00026972012710757554
1956,0.00026969664031639695
1957,0.00026388128753751516
1958,0.00024789126473478973
1959,0.00025243739946745336
1960,0.00024259289784822613
1961,0.0002455894718877971
1962,0.00023626995971426368
1963,0.0002391734888078645
1964,0.00024546872009523213
1965,0.0002487663587089628
1966,0.0002338854392291978
1967,0.00023044896079227328
1968,0.00022875347349327058
1969,0.000234598497627303
1970,0.00024885355378501117
1971,0.000246210751356557
1972,0.0002531603386159986
1973,0.0002603371685836464
1974,0.00026116130175068974
1975,0.0002632307296153158
1976,0.0002964645973406732
1977,0.0002996698603965342
1978,0.00029882782837376
1979,0.00030164216877892613
1980,0.0002983621379826218
1981,0.00027607829542830586
1982,0.00028533267322927713
1983,0.0002924459695350379
1984,0.0002724281803239137
1985,0.00028451578691601753
1986,0.00026173924561589956
1987,0.00024613324785605073
1988,0.00025047510280273855
1989,0.0002502518764231354
1990,0.0002533364458940923
1991,0.0002417601499473676
1992,0.00023750844411551952
1993,0.0002512931532692164
1994,0.00024596051662229
1995,0.00025235064094886184
1996,0.00020449240400921553
1997,0.0001889180130092427
1998,0.000185540528036654
1999,0.00018471233488526195
2000,0.00017542921705171466
2001,0.00017257482977584004
2002,0.00016064489318523556
2003,0.00015897500270511955
2004,0.00015884509775787592
2005,0.00015865032037254423
2006,0.00015091922250576317
2007,0.00014547976024914533
2008,0.0001443350047338754
2009,0.00013202126137912273
2010,0.0001257963594980538
2011,0.00011733964493032545
2012,0.0001520850055385381
2013,0.0001484603708377108
2014,0.00011030810856027529
2015,0.00012176714517408982
2016,0.00010329227370675653
2017,9.380927804159e-05
2018,9.107462392421439e-05
2019,9.49121022131294e-05
