,because
1959,0.00048760982463136315
1960,0.0004927272675558925
1961,0.000496710475999862
1962,0.0004921153886243701
1963,0.0004954825853928924
1964,0.0005027224542573094
1965,0.0004904798115603626
1966,0.0005087648169137537
1967,0.0005025003920309246
1968,0.0005039235111325979
1969,0.0005090241902507842
1970,0.0005127395270392299
1971,0.0005110095953568816
1972,0.0005149831413291395
1973,0.0005103473667986691
1974,0.0005305426311679184
1975,0.0005203150794841349
1976,0.0005184952169656754
1977,0.0005219480954110622
1978,0.0005168872303329408
1979,0.0005161018925718963
1980,0.0005278443568386137
1981,0.000516738451551646
1982,0.0005278653115965426
1983,0.0005258847959339619
1984,0.0005295179435051978
1985,0.0005168245988897979
1986,0.0005319929332472384
1987,0.0005287962849251926
1988,0.0005351097206585109
1989,0.0005273679853416979
1990,0.0005353346932679415
1991,0.000536642677616328
1992,0.0005418661166913807
1993,0.0005360976792871952
1994,0.0005400622612796724
1995,0.0005377448978833854
1996,0.0005492111085914075
1997,0.0005624930490739644
1998,0.0005734656588174403
1999,0.0005680288304574788
2000,0.0005741602508351207
2001,0.0005756302271038294
2002,0.0005928441532887518
2003,0.0005968668265268207
2004,0.0006028817733749747
2005,0.0006072818068787456
2006,0.0006032417877577245
2007,0.0006130406400188804
2008,0.0006117241573520005
2009,0.0006326952134259045
2010,0.0006456833798438311
2011,0.0006512893014587462
2012,0.000632256967946887
2013,0.0006292773759923875
2014,0.0006478434661403298
2015,0.0006489160587079823
2016,0.0006391938077285886
2017,0.0006238033529371023
2018,0.0006033992976881564
2019,0.0006246876437216997
