,next
1895,0.00021535523410420865
1896,0.00022269602050073445
1897,0.0002170755760744214
1898,0.00021409356850199401
1899,0.00022209182498045266
1900,0.0002141928707715124
1901,0.0002049769536824897
1902,0.0002086157473968342
1903,0.00020978348038624972
1904,0.00021040748106315732
1905,0.00020713875710498542
1906,0.0002040482359007001
1907,0.0002047460584435612
1908,0.00020397425396367908
1909,0.00020473262702580541
1910,0.00019896197773050517
1911,0.0001996231294469908
1912,0.0001996304781641811
1913,0.00019555698963813484
1914,0.00019441953918430954
1915,0.0001915514440042898
1916,0.00018934182298835367
1917,0.00018807448213919997
1918,0.00018709205323830247
1919,0.00019171553140040487
1920,0.0001970750599866733
1921,0.00019413247355259955
1922,0.0001934179017553106
1923,0.00019091578724328429
1924,0.0001935908367158845
1925,0.00018707907292991877
1926,0.0001862259377958253
1927,0.0001853951980592683
1928,0.00018921724404208362
1929,0.00018753399490378797
1930,0.00018937821732833982
1931,0.0001877702452475205
1932,0.000180301460204646
1933,0.0001780862658051774
1934,0.00018099632870871574
1935,0.0001816569420043379
1936,0.0001792634866433218
1937,0.0001797234726836905
1938,0.000181494266144
1939,0.00017556591774336994
1940,0.00016966075054369867
1941,0.00016517515177838504
1942,0.00016456471348647028
1943,0.00016552994202356786
1944,0.0001675166276982054
1945,0.00017536462110001594
1946,0.00018257330521009862
1947,0.00018527713837102056
1948,0.00017867660790216178
1949,0.00016823489568196237
1950,0.00017116646631620824
1951,0.00017385503451805562
1952,0.0001738890423439443
1953,0.00017292582197114825
1954,0.00017130952619481832
1955,0.000176844943780452
1956,0.00017437475617043674
1957,0.00017313178977929056
1958,0.0001714441750664264
1959,0.0001736927661113441
1960,0.00016641813272144645
1961,0.0001660600391915068
1962,0.0001641141134314239
1963,0.00016357564891222864
1964,0.0001645601587370038
1965,0.00016792479436844587
1966,0.0001672305807005614
1967,0.0001679763663560152
1968,0.00016965754912234843
1969,0.0001692596124485135
1970,0.0001639554975554347
1971,0.00016106246039271355
1972,0.0001585743302712217
1973,0.00015590830298606306
1974,0.000159821764100343
1975,0.0001571116881677881
1976,0.0001551559689687565
1977,0.00015447115583810955
1978,0.00015182950301095843
1979,0.00015266655827872455
1980,0.00015684508252888918
1981,0.00015536790306214243
1982,0.00015343751874752343
1983,0.000155567642650567
1984,0.0001574237394379452
1985,0.00015782286936882883
1986,0.0001606677396921441
1987,0.0001613054337212816
1988,0.0001660985144553706
1989,0.00016406613576691598
1990,0.00016717842663638294
1991,0.00016830110689625144
1992,0.00016738563135731965
1993,0.00016643074923194945
1994,0.00016982652596198022
1995,0.0001683896844042465
1996,0.000172579224454239
1997,0.0001809691166272387
1998,0.0001811062975320965
1999,0.00018609165272209793
2000,0.00019435348804108799
2001,0.00019713399524334818
2002,0.00019930023699998856
2003,0.00020431200391612947
2004,0.00020952586783096194
2005,0.0002118292759405449
2006,0.00021518810535781085
2007,0.0002207815123256296
2008,0.0002286401722813025
2009,0.00024661608040332794
2010,0.00025931678828783333
2011,0.00027412211056798697
2012,0.000253998558036983
2013,0.0002513095096219331
2014,0.00028929676045663655
2015,0.0002940884733106941
2016,0.0002590971998870373
2017,0.00026289341622032225
2018,0.00025265218573622406
2019,0.0002611709351185709
