,part
1914,0.000604965549428016
1915,0.000604178523644805
1916,0.0006042043678462505
1917,0.0005949608166702092
1918,0.0006070715025998652
1919,0.0005976505344733596
1920,0.0005975356907583773
1921,0.0005931686609983444
1922,0.0005929535254836082
1923,0.0005929320468567312
1924,0.0005930449697189033
1925,0.000590559677220881
1926,0.0005985558964312077
1927,0.0005908538587391376
1928,0.0005972260260023177
1929,0.0005939300172030926
1930,0.0005886387662030756
1931,0.0005846407148055732
1932,0.0005859425291419029
1933,0.0005855413037352264
1934,0.0005868523730896413
1935,0.0005920208059251308
1936,0.0005789452116005123
1937,0.0005745192756876349
1938,0.0005891983746550977
1939,0.0005851332098245621
1940,0.0005809118738397956
1941,0.0005724009242840111
1942,0.0005823710234835744
1943,0.0005810656002722681
1944,0.0005761382053606212
1945,0.0005722331115975976
1946,0.000558881089091301
1947,0.0005588876665569842
1948,0.0005574511014856398
1949,0.0005874956259503961
1950,0.0005640207673422992
1951,0.0005494866636581719
1952,0.0005568204796873033
1953,0.000548150681424886
1954,0.0005561424768529832
1955,0.0005409278674051166
1956,0.0005429431330412626
1957,0.0005443409318104386
1958,0.0005370284779928625
1959,0.0005389761063270271
1960,0.0005315145244821906
1961,0.0005329177365638316
1962,0.000524392758961767
1963,0.0005363170057535172
1964,0.0005281977937556803
1965,0.0005213136901147664
1966,0.000521757872775197
1967,0.0005216227727942169
1968,0.000522037036716938
1969,0.0005187423666939139
1970,0.0005118281114846468
1971,0.0005087811150588095
1972,0.0005006950814276934
1973,0.0004894431331194937
1974,0.0004858323372900486
1975,0.0004844832292292267
1976,0.00047590004396624863
1977,0.00046881314483471215
1978,0.0004665094311349094
1979,0.00046443744213320315
1980,0.0004623802378773689
1981,0.0004577637882903218
1982,0.00046244164695963264
1983,0.00046228201244957745
1984,0.00044988043373450637
1985,0.000445667770691216
1986,0.00043964534415863454
1987,0.00044615802471525967
1988,0.0004470032290555537
1989,0.00043777888640761375
1990,0.0004403778293635696
1991,0.0004397614684421569
1992,0.0004410570254549384
1993,0.00044383283238857985
1994,0.0004391776164993644
1995,0.00045365525875240564
1996,0.0004479971539694816
1997,0.00045665662037208676
1998,0.0004519064095802605
1999,0.0004581341054290533
2000,0.0004521813534665853
2001,0.00045071233762428164
2002,0.0004535027837846428
2003,0.0004605799913406372
2004,0.00044678515405394137
2005,0.00044854028965346515
2006,0.0004441640339791775
2007,0.00044230587081983685
2008,0.00043971763807348907
2009,0.0004408498352859169
2010,0.00044303922913968563
2011,0.00044442148646339774
2012,0.00044043903471902013
2013,0.0004398193850647658
2014,0.00043626874685287476
2015,0.0004251783830113709
2016,0.0004335691628511995
2017,0.0003907049831468612
2018,0.00039684190414845943
2019,0.00038079582736827433
