,yes
1946,2.4286022380692884e-05
1947,2.2343740056385286e-05
1948,2.1011372155044228e-05
1949,1.8919959984486923e-05
1950,2.1266276235110126e-05
1951,2.263012356706895e-05
1952,2.0526964362943545e-05
1953,2.0707428120658733e-05
1954,1.9948631234001368e-05
1955,2.336840952921193e-05
1956,2.2285839804681018e-05
1957,2.5245628421544097e-05
1958,2.0234729163348675e-05
1959,1.992986108234618e-05
1960,1.9778059140662663e-05
1961,1.8690361685003154e-05
1962,2.0321511328802444e-05
1963,1.9934199372073635e-05
1964,2.0973784558009356e-05
1965,1.8953536709886976e-05
1966,1.8670662029762752e-05
1967,1.9325992980157025e-05
1968,1.8439413906889968e-05
1969,1.9356961274752393e-05
1970,2.0124678485444747e-05
1971,1.7896572899189778e-05
1972,1.915955544973258e-05
1973,2.0532945200102404e-05
1974,2.0010982552776113e-05
1975,2.027133450610563e-05
1976,1.9694498405442573e-05
1977,1.9960754798376e-05
1978,2.0444002075237222e-05
1979,1.9898017853847705e-05
1980,2.0608556951628998e-05
1981,2.0169467461528257e-05
1982,2.0187948393868282e-05
1983,2.091941496473737e-05
1984,2.015293102886062e-05
1985,2.1543362890952267e-05
1986,2.106595457007643e-05
1987,2.317793587280903e-05
1988,2.2879092284711078e-05
1989,2.252487320220098e-05
1990,2.262488669657614e-05
1991,2.260608562210109e-05
1992,2.3127820895751938e-05
1993,2.3000766304903664e-05
1994,2.4292523448821157e-05
1995,2.286522249050904e-05
1996,2.467979174980428e-05
1997,2.6412311854073778e-05
1998,2.542890069889836e-05
1999,2.454297646181658e-05
2000,2.684484570636414e-05
2001,2.7242735086474568e-05
2002,2.7896858227904886e-05
2003,2.8666592697845772e-05
2004,3.041760646738112e-05
2005,3.141508568660356e-05
2006,3.179672785336152e-05
2007,3.254052353440784e-05
2008,3.675963307614438e-05
2009,4.098242789041251e-05
2010,4.2879913962678984e-05
2011,4.841434565605596e-05
2012,4.68513899249956e-05
2013,4.614755016518757e-05
2014,5.443691406981088e-05
2015,5.185529153095558e-05
2016,4.829680983675644e-05
2017,5.5277505452977493e-05
2018,5.467950541060418e-05
2019,5.2258568757679313e-05
