,every
1962,0.00026159067056141794
1963,0.0002658394805621356
1964,0.0002556421095505357
1965,0.0002686451771296561
1966,0.00026606189203448594
1967,0.00026742173940874636
1968,0.0002795997424982488
1969,0.0002773998712655157
1970,0.00026570315822027624
1971,0.0002528250333853066
1972,0.00023807414982002228
1973,0.00022438832093030214
1974,0.00022279999393504113
1975,0.0002131342189386487
1976,0.00020965610747225583
1977,0.00020352106366772205
1978,0.0001997119834413752
1979,0.0001988335861824453
1980,0.00019694473303388804
1981,0.00019267138850409538
1982,0.0001972449681488797
1983,0.00019770085054915398
1984,0.00019609241280704737
1985,0.00019320746650919318
1986,0.0001949016295839101
1987,0.00019704640726558864
1988,0.00019839161541312933
1989,0.00019473617430776358
1990,0.00020041920652147382
1991,0.00019888720999006182
1992,0.00020167136972304434
1993,0.00020302888879086822
1994,0.00020307672093622386
1995,0.0002048567694146186
1996,0.00021331867901608348
1997,0.0002174638502765447
1998,0.00022228430316317827
1999,0.00022685602016281337
2000,0.0002362809027545154
2001,0.0002348423149669543
2002,0.00023692811373621225
2003,0.0002524474693927914
2004,0.00026235482073388994
2005,0.0002626510104164481
2006,0.00027697719633579254
2007,0.0002771118306554854
2008,0.0003002615994773805
2009,0.00031505426159128547
2010,0.00031709394534118474
2011,0.00031722532003186643
2012,0.0002943539584521204
2013,0.00029653211822733283
2014,0.000320105638820678
2015,0.00032161918352358043
2016,0.00030383377452380955
2017,0.00033875799272209406
2018,0.0003429605858400464
2019,0.00033780044759623706
