,history
1929,0.0001468426053179428
1930,0.00014536968956235796
1931,0.00014380976790562272
1932,0.00014496436051558703
1933,0.0001405903894919902
1934,0.00014680348976980895
1935,0.00014836093760095537
1936,0.00014651031233370304
1937,0.00015376867668237537
1938,0.00014604935131501406
1939,0.0001407455711159855
1940,0.00014453765470534563
1941,0.00014457541692536324
1942,0.00015014136442914605
1943,0.0001468484988436103
1944,0.0001496840122854337
1945,0.00014052614278625697
1946,0.0001433042052667588
1947,0.0001421039632987231
1948,0.0001478304766351357
1949,0.0001438472099835053
1950,0.00014560057024937123
1951,0.00014405451656784862
1952,0.0001417294261045754
1953,0.0001433330326108262
1954,0.00014492589980363846
1955,0.000142037431942299
1956,0.00014727716916240752
1957,0.00014189259673003107
1958,0.0001464865927118808
1959,0.000145893674925901
1960,0.00014927683514542878
1961,0.0001497863995609805
1962,0.0001526274427305907
1963,0.00015111883112695068
1964,0.00015643173537682742
1965,0.00015405687736347318
1966,0.00015660379722248763
1967,0.0001577494986122474
1968,0.00016213102207984775
1969,0.0001564658887218684
1970,0.00015729833103250712
1971,0.00015089403314050287
1972,0.00015119725139811635
1973,0.00015076306590344757
1974,0.00014889330486766994
1975,0.00015008726040832698
1976,0.00014649327204097062
1977,0.0001462027576053515
1978,0.0001454588200431317
1979,0.00014719209866598248
1980,0.00015117473958525807
1981,0.0001501815568190068
1982,0.00015263025125022978
1983,0.0001505036634625867
1984,0.000150352279888466
1985,0.00015513239486608654
1986,0.00015531493409071118
1987,0.00015784874267410487
1988,0.00016087394033093005
1989,0.00016096868785098195
1990,0.00016645147115923464
1991,0.0001643662981223315
1992,0.00016627158038318157
1993,0.00016961322398856282
1994,0.00017259467858821154
1995,0.0001672853104537353
1996,0.0001800099271349609
1997,0.00017938154633156955
1998,0.00018260805518366396
1999,0.00018351481412537396
2000,0.00018495267431717366
2001,0.00018027490295935422
2002,0.00018912687664851546
2003,0.00018506492779124528
2004,0.00019499121117405593
2005,0.00018913306121248752
2006,0.00019018554303329438
2007,0.00018978882872033864
2008,0.00018581148469820619
2009,0.00018385716248303652
2010,0.00017883305554278195
2011,0.00017083717102650553
2012,0.00016005033103283495
2013,0.00017335789743810892
2014,0.0001699343411019072
2015,0.00017856327758636326
2016,0.0001873892906587571
2017,0.00016669899923726916
2018,0.000162364769494161
2019,0.00016761748702265322
