,then
1995,0.0005181902088224888
1996,0.0005317543400451541
1997,0.000548822688870132
1998,0.0005597035633400083
1999,0.0005702600465156138
2000,0.0006048016366548836
2001,0.0006140868063084781
2002,0.0006257169297896326
2003,0.0006477623828686774
2004,0.0006654234020970762
2005,0.0006670369766652584
2006,0.0006908376817591488
2007,0.0007123738760128617
2008,0.0007464487571269274
2009,0.0008027818985283375
2010,0.0008502272539772093
2011,0.0008869083831086755
2012,0.0008665847708471119
2013,0.0008714322466403246
2014,0.0009371860651299357
2015,0.0009031810914166272
2016,0.0008679949678480625
2017,0.0009003490558825433
2018,0.0008904123678803444
2019,0.0009076282731257379
