,power
1951,0.0003454230900388211
1952,0.00036984297912567854
1953,0.0003527584485709667
1954,0.00035802394268102944
1955,0.00036924658343195915
1956,0.0003629734565038234
1957,0.00035541827674023807
1958,0.00034917693119496107
1959,0.00034897378645837307
1960,0.00034708960447460413
1961,0.0003353389329276979
1962,0.00034750113263726234
1963,0.0003343047865200788
1964,0.0003388324985280633
1965,0.00033823525882326066
1966,0.0003327073354739696
1967,0.0003397453692741692
1968,0.00033937563421204686
1969,0.0003279731026850641
1970,0.0003302133991383016
1971,0.00033380641252733767
1972,0.00032817129977047443
1973,0.00031938840402290225
1974,0.0003301757969893515
1975,0.0003233000752516091
1976,0.0003187267866451293
1977,0.000324537162669003
1978,0.00032615335658192635
1979,0.0003249931032769382
1980,0.00031827035127207637
1981,0.0003082643961533904
1982,0.0003084652707912028
1983,0.0003093870764132589
1984,0.000297067774226889
1985,0.00029076551436446607
1986,0.00029797625029459596
1987,0.00029568866011686623
1988,0.00028842929168604314
1989,0.00028261003899388015
1990,0.00028416819986887276
1991,0.0002896830264944583
1992,0.00028642790857702494
1993,0.0002804007672239095
1994,0.00028433449915610254
1995,0.00028671955806203187
1996,0.0002913103671744466
1997,0.0002912475320044905
1998,0.00029133239877410233
1999,0.0002905006112996489
2000,0.00029177326359786093
2001,0.0002940845733974129
2002,0.00030310885631479323
2003,0.0002954274823423475
2004,0.0003000739961862564
2005,0.0002939222613349557
2006,0.00029375884332694113
2007,0.0002989350468851626
2008,0.00029699690639972687
2009,0.0002978718257509172
2010,0.0002915376389864832
2011,0.0002789527934510261
2012,0.0002717915631365031
2013,0.0002933328505605459
2014,0.0002791310253087431
2015,0.0002913973294198513
2016,0.0003057362628169358
2017,0.0002948107721749693
2018,0.0002959293778985739
2019,0.00030445578158833086
