,now
1938,0.0005741414497606456
1939,0.0005678160232491791
1940,0.00056112912716344
1941,0.0005685202777385712
1942,0.0006139429169707
1943,0.000618661055341363
1944,0.0006148070679046214
1945,0.0006148769753053784
1946,0.0006168273976072669
1947,0.0005986972828395665
1948,0.0005855701747350395
1949,0.0005578027339652181
1950,0.000575002864934504
1951,0.0005808910354971886
1952,0.0005817791679874063
1953,0.0005613690009340644
1954,0.0005534369847737253
1955,0.00056157645303756
1956,0.0005677533918060362
1957,0.0005512093775905669
1958,0.0005534238298423588
1959,0.0005375572363846004
1960,0.0005274785216897726
1961,0.0005243949126452208
1962,0.0005277424934320152
1963,0.0005175134865567088
1964,0.0005195075063966215
1965,0.0005319626070559025
1966,0.0005381200462579727
1967,0.0005358147900551558
1968,0.0005402389215305448
1969,0.000540824665222317
1970,0.0005201316089369357
1971,0.0005047509912401438
1972,0.0004839130851905793
1973,0.0004664325970225036
1974,0.0004743723839055747
1975,0.0004537475761026144
1976,0.00044232443906366825
1977,0.00042921671411022544
1978,0.00042404429404996336
1979,0.0004229148617014289
1980,0.0004233694344293326
1981,0.0004064753302372992
1982,0.00040691191679798067
1983,0.0004101926169823855
1984,0.0004090133879799396
1985,0.0004013654834125191
1986,0.0004100033256690949
1987,0.0003980761393904686
1988,0.0004059228813275695
1989,0.0003973723214585334
1990,0.0004089925205335021
1991,0.00039746417314745486
1992,0.0003962207119911909
1993,0.00038704415783286095
1994,0.0003921129391528666
1995,0.00038180305273272097
1996,0.0003948573721572757
1997,0.0003935438289772719
1998,0.0003994766448158771
1999,0.0004054062010254711
2000,0.0004369191301520914
2001,0.00044295546831563115
2002,0.0004444047517608851
2003,0.00045124799362383783
2004,0.0004666435706894845
2005,0.00046597409527748823
2006,0.0004892644938081503
2007,0.0005030398024246097
2008,0.0005423785769380629
2009,0.0005767786642536521
2010,0.0005965099553577602
2011,0.0006304423441179097
2012,0.0006026459159329534
2013,0.0006109363748691976
2014,0.0006836869870312512
2015,0.0006637430633418262
2016,0.0006250961450859904
2017,0.0006919167353771627
2018,0.000690522079821676
2019,0.0006884728791192174
