,going
1894,0.00014632112288381904
1895,0.00013898100587539375
1896,0.00014413851022254676
1897,0.00013593809853773564
1898,0.00013980123912915587
1899,0.00015649525448679924
1900,0.00015285570407286286
1901,0.00014179576828610152
1902,0.00013918630429543555
1903,0.0001424603397026658
1904,0.0001452547439839691
1905,0.00013696926180273294
1906,0.00014342159556690603
1907,0.00014329921395983547
1908,0.00015008203627076
1909,0.00015449080092366785
1910,0.00014637658023275435
1911,0.00015427109610754997
1912,0.00016117813356686383
1913,0.0001600420946488157
1914,0.00016111870354507118
1915,0.00015475215332116932
1916,0.00016997828788589686
1917,0.00017071062757167965
1918,0.0001815805590013042
1919,0.00018882931908592582
1920,0.0001837858435465023
1921,0.00017714712885208428
1922,0.00017654011026024818
1923,0.00016713273362256587
1924,0.00018428328621666878
1925,0.00016848764789756387
1926,0.00017050754104275256
1927,0.00016071110439952463
1928,0.00016972799494396895
1929,0.00016646999574732035
1930,0.00016811089881230146
1931,0.00015632793656550348
1932,0.00016727970796637237
1933,0.00015523603360634297
1934,0.00017094913346227258
1935,0.00016902164497878402
1936,0.00016713494551368058
1937,0.00016002728079911321
1938,0.00015863697626627982
1939,0.000163669916219078
1940,0.00015973080007825047
1941,0.000172355241375044
1942,0.00018771892064251006
1943,0.00019557807536330074
1944,0.0001956976775545627
1945,0.00019666922162286937
1946,0.00019433142733760178
1947,0.00018848849867936224
1948,0.000180488292244263
1949,0.0001640444970689714
1950,0.00016469780530314893
1951,0.00018363751587457955
1952,0.00017404166283085942
1953,0.00017056897922884673
1954,0.00016410034731961787
1955,0.0001748801878420636
1956,0.00017476385983172804
1957,0.00017249234952032566
1958,0.0001676077808951959
1959,0.00015891149814706296
1960,0.0001550208980916068
1961,0.00015691330190747976
1962,0.00015298090875148773
1963,0.00015137274749577045
1964,0.00015421579882968217
1965,0.0001543774560559541
1966,0.00016087641415651888
1967,0.0001625674922252074
1968,0.0001601260737515986
1969,0.00016766166663728654
1970,0.00016681438137311488
1971,0.0001593634660821408
1972,0.00016108226554933935
1973,0.00016382588364649564
1974,0.0001703533489489928
1975,0.00016388532822020352
1976,0.00016225465515162796
1977,0.00016266028978861868
1978,0.00015903418534435332
1979,0.0001605674042366445
1980,0.00016434148710686713
1981,0.00015816287486813962
1982,0.00016084521485026926
1983,0.00015976355643942952
1984,0.00016620571841485798
1985,0.0001590483298059553
1986,0.0001686189352767542
1987,0.00016585993580520153
1988,0.00017409185238648206
1989,0.00017341438797302544
1990,0.00017622348968870938
1991,0.00017931681941263378
1992,0.00017700968601275235
1993,0.0001720335567370057
1994,0.00018101220484822989
1995,0.00017446564743295312
1996,0.00017810727877076715
1997,0.00018366437871009111
1998,0.00018110164091922343
1999,0.0001874493173090741
2000,0.00021316159109119326
2001,0.00021649130212608725
2002,0.00022363258176483214
2003,0.00023244622570928186
2004,0.00024046922044362873
2005,0.0002499559777788818
2006,0.00025387515779584646
2007,0.0002710962144192308
2008,0.00029082840774208307
2009,0.0003391666105017066
2010,0.00036446668673306704
2011,0.00040855351835489273
2012,0.0003812714130617678
2013,0.0003699597727973014
2014,0.00045763133675791323
2015,0.0004333500983193517
2016,0.00039996247505769134
2017,0.0004283736052457243
2018,0.00040177899063564837
2019,0.00041101279202848673
