,take
2004,0.0003621925425250083
2005,0.00036883956636302173
2006,0.00037373710074461997
2007,0.00038058659993112087
2008,0.00039758143248036504
2009,0.00042434295755811036
2010,0.0004418681201059371
2011,0.00045541799045167863
2012,0.0004261551657691598
2013,0.0004276757244952023
2014,0.0004735345719382167
2015,0.0004648966423701495
2016,0.0004447534156497568
2017,0.000470339524326846
2018,0.0004593684570863843
2019,0.0004699519486166537
