,while
1880,0.0004314369580242783
1881,0.0004235047963447869
1882,0.0004323355678934604
1883,0.0004333773977123201
1884,0.0004259120614733547
1885,0.0004291124641895294
1886,0.00042433658381924033
1887,0.00042257041786797345
1888,0.00043464009650051594
1889,0.0004339395964052528
1890,0.00044086441630497575
1891,0.0004262099973857403
1892,0.00044236695975996554
1893,0.00043912732508033514
1894,0.00043637322960421443
1895,0.0004288824857212603
1896,0.0004406194784678519
1897,0.00043288726010359824
1898,0.0004431431589182466
1899,0.0004485408717300743
1900,0.0004449956468306482
1901,0.0004228382313158363
1902,0.00043735720100812614
1903,0.00042301605571992695
1904,0.00042614093399606645
1905,0.0004268447228241712
1906,0.00041631824569776654
1907,0.0004175810609012842
1908,0.0004202453710604459
1909,0.0004187184968031943
1910,0.00042105428292416036
1911,0.00041634394438005984
1912,0.0004106521955691278
1913,0.000403743761125952
1914,0.00040201438241638243
1915,0.00040213431930169463
1916,0.00040339853148907423
1917,0.00039530679350718856
1918,0.00040081076440401375
1919,0.00039395387284457684
1920,0.00040072243427857757
1921,0.0003933753469027579
1922,0.0004025421803817153
1923,0.0003880392760038376
1924,0.00038632095674984157
1925,0.0003779820981435478
1926,0.0003878036804962903
1927,0.00037505439831875265
1928,0.00037903981865383685
1929,0.0003735676873475313
1930,0.0003735681821126491
1931,0.0003565518418326974
1932,0.0003625129465945065
1933,0.00034833652898669243
1934,0.0003479568113107234
1935,0.00034233112819492817
1936,0.0003438625717535615
1937,0.0003422177687752992
1938,0.00033559490111656487
1939,0.0003236344491597265
1940,0.0003304177080281079
1941,0.000314135366352275
1942,0.0003235292970202863
1943,0.0003180922067258507
1944,0.0003237608470954001
1945,0.0003159676562063396
1946,0.0003172988654114306
1947,0.000311812647851184
1948,0.00030512860394082963
1949,0.0002955318195745349
1950,0.00030231341952458024
1951,0.0003030363586731255
1952,0.00031056939042173326
1953,0.0003001605218742043
1954,0.00030310085276141763
1955,0.000295876816380769
1956,0.00029759484459646046
1957,0.00029196302057243884
1958,0.0002958396216854453
1959,0.00029029467259533703
1960,0.0002930992341134697
1961,0.0002933835203293711
1962,0.00029582506977021694
1963,0.00029077340150251985
1964,0.00029177963733673096
1965,0.0002911454939749092
1966,0.00029475410701707006
1967,0.00029078905936330557
1968,0.000299248582450673
1969,0.0002986000617966056
1970,0.0002987655461765826
1971,0.0002943442377727479
1972,0.0002950136549770832
1973,0.00028818726423196495
1974,0.000292457640171051
1975,0.00029014499159529805
1976,0.00029046647250652313
1977,0.00028872155235148966
1978,0.0002877533552236855
1979,0.00028759578708559275
1980,0.0002926363958977163
1981,0.0002929987676907331
1982,0.00029505533166229725
1983,0.0002959930570796132
1984,0.0002958857221528888
1985,0.00029797162278555334
1986,0.00030155497370287776
1987,0.0003010053187608719
1988,0.00030308676650747657
1989,0.0002988002961501479
1990,0.00030213900026865304
1991,0.00030566754867322743
1992,0.00030573600088246167
1993,0.00030415624496527016
1994,0.0003087321820203215
1995,0.00030523576424457133
1996,0.0003173167060595006
1997,0.0003214541939087212
1998,0.00032650577486492693
1999,0.0003306164580862969
2000,0.0003422244335524738
2001,0.0003450530057307333
2002,0.00035198082332499325
2003,0.00035908346762880683
2004,0.0003704073023982346
2005,0.00037207850255072117
2006,0.00037830587825737894
2007,0.00038469056016765535
2008,0.00039495909004472196
2009,0.0004067580448463559
2010,0.00041380859329365194
2011,0.0004216523957438767
2012,0.00041002576472237706
2013,0.00041845269151963294
2014,0.0004415996081661433
2015,0.0004440053307916969
2016,0.00043666877900250256
2017,0.00044639440602622926
2018,0.00044620741391554475
2019,0.00046323888818733394
