,business
1913,0.0004037630569655448
1914,0.00041726400377228856
1915,0.000437206297647208
1916,0.00043589467532001436
1917,0.0004313507815822959
1918,0.0004299898282624781
1919,0.0004549197619780898
1920,0.00044891066499985754
1921,0.0004885374801233411
1922,0.0004837416927330196
1923,0.0004112605529371649
1924,0.0004038213228341192
1925,0.00037022787728346884
1926,0.0003722183173522353
1927,0.00038127086008898914
1928,0.0003789095499087125
1929,0.00037647588760592043
1930,0.0003917802532669157
1931,0.0003840444842353463
1932,0.00037433073157444596
1933,0.00036516101681627333
1934,0.00035330947139300406
1935,0.000352217088220641
1936,0.0003499048762023449
1937,0.00033775289193727076
1938,0.0003453445388004184
1939,0.0003732187324203551
1940,0.00034794516977854073
1941,0.00034744167351163924
1942,0.00032688063220120966
1943,0.0003084877098444849
1944,0.0003164703375659883
1945,0.0003281640529166907
1946,0.000305017689242959
1947,0.0003139560285490006
1948,0.0003035170375369489
1949,0.00030647756648249924
1950,0.0002918661630246788
1951,0.00029931776225566864
1952,0.00028081334312446415
1953,0.00029355345759540796
1954,0.00030097950366325676
1955,0.0002895227517001331
1956,0.00028653768822550774
1957,0.00029808786348439753
1958,0.0002895710349548608
1959,0.0002808411663863808
1960,0.00025882376939989626
1961,0.0002659873280208558
1962,0.00024807333829812706
1963,0.00025026954244822264
1964,0.0002366691769566387
1965,0.00022979869390837848
1966,0.00023116108786780387
1967,0.00023548917670268565
1968,0.00023040373343974352
1969,0.0002281202032463625
1970,0.00022640063252765685
1971,0.0002136064285878092
1972,0.00021556229330599308
1973,0.00021408306201919913
1974,0.0002093994407914579
1975,0.00022344241733662784
1976,0.00021766193094663322
1977,0.00022441521286964417
1978,0.00022749930212739855
1979,0.0002219785819761455
1980,0.00022951184655539691
1981,0.00022920822084415704
1982,0.00023261966998688877
1983,0.0002343251690035686
1984,0.00024515879340469837
1985,0.00023084187705535442
1986,0.00023855172912590206
1987,0.00022912539134267718
1988,0.00023949050228111446
1989,0.0002365728432778269
1990,0.00023244161275215447
1991,0.00023248576326295733
1992,0.00024327450955752283
1993,0.00024576205760240555
1994,0.0002591987722553313
1995,0.00025203576660715044
1996,0.00025016299332492054
1997,0.00026487401919439435
1998,0.0002620767045300454
1999,0.00026489602169021964
2000,0.0002665779902599752
2001,0.00027070814394392073
2002,0.000263749563600868
2003,0.0002580425061751157
2004,0.00025643224944360554
2005,0.0002582203014753759
2006,0.00025569048011675477
2007,0.000269837211817503
2008,0.0002668332017492503
2009,0.0002578210842330009
2010,0.000248281576205045
2011,0.0002404301194474101
2012,0.00021627193200401962
2013,0.00021109379304107279
2014,0.0002157467679353431
2015,0.00022170189185999334
2016,0.0002243001654278487
2017,0.0002042551786871627
2018,0.0002036195364780724
2019,0.00020327544189058244
