,name
1935,0.00021031788492109627
1936,0.00021055145771242678
1937,0.00022121344227343798
1938,0.0002194061380578205
1939,0.00021765031851828098
1940,0.00021144773927517235
1941,0.00021307430870365351
1942,0.00019310263451188803
1943,0.00019461357442196459
1944,0.00018630656995810568
1945,0.00018588545208331198
1946,0.0001875041052699089
1947,0.00018752450705505908
1948,0.00019088853150606155
1949,0.00019210699247196317
1950,0.0001960902736755088
1951,0.0001962734095286578
1952,0.000199298927327618
1953,0.0001950178120750934
1954,0.00020239931473042816
1955,0.00018514774274080992
1956,0.00018534668197389692
1957,0.00018490604998078197
1958,0.00017547790776006877
1959,0.00017335807206109166
1960,0.00017380350618623197
1961,0.00017570714408066124
1962,0.0001753788674250245
1963,0.00017834847676567733
1964,0.0001760274317348376
1965,0.00017336983000859618
1966,0.00017218793800566345
1967,0.00018164413631893694
1968,0.00017735309666022658
1969,0.00017441892123315483
1970,0.0001731359225232154
1971,0.00016396224964410067
1972,0.00016052401042543352
1973,0.00015802786219865084
1974,0.0001541123929200694
1975,0.00015055558469612151
1976,0.00015397474635392427
1977,0.00015120672469493002
1978,0.00015312843606807292
1979,0.0001526063570054248
1980,0.0001494017633376643
1981,0.0001633733045309782
1982,0.00015176682791206986
1983,0.00015852827345952392
1984,0.00015709864965174347
1985,0.00016002067422959954
1986,0.00016050264821387827
1987,0.0001648628676775843
1988,0.00016460234473925084
1989,0.00017122054123319685
1990,0.00016906425298657268
1991,0.00017382416990585625
1992,0.00017722554912324995
1993,0.0001882793294498697
1994,0.00017843379464466125
1995,0.000181018520379439
1996,0.00018713876488618553
1997,0.00019542979134712368
1998,0.0002000192180275917
1999,0.00020432143355719745
2000,0.00021131563698872924
2001,0.0002145480248145759
2002,0.0002165477635571733
2003,0.00022973168233875185
2004,0.0002264056383864954
2005,0.00022173540492076427
2006,0.0002288050454808399
2007,0.00022395337873604149
2008,0.00023648668138775975
2009,0.00024074413522612303
2010,0.0002500944829080254
2011,0.00024567899527028203
2012,0.00021949945949018002
2013,0.00022101978538557887
2014,0.00024169229436665773
2015,0.00024035284877754748
2016,0.0002272838173666969
2017,0.00024350268358830363
2018,0.0002420465461909771
2019,0.00023515282373409718
