,world
1918,0.0002862077672034502
1919,0.00030078482814133167
1920,0.00028382299933582544
1921,0.0002697645395528525
1922,0.00026108091697096825
1923,0.00025666714645922184
1924,0.00026600240380503237
1925,0.00025343155721202493
1926,0.0002601000014692545
1927,0.0002612728567328304
1928,0.0002513221406843513
1929,0.00026376007008366287
1930,0.00026153988437727094
1931,0.00026561846607364714
1932,0.0002720091724768281
1933,0.00025821407325565815
1934,0.00025990334688685834
1935,0.00025039882166311145
1936,0.0002492592029739171
1937,0.0002518276742193848
1938,0.0002529887424316257
1939,0.00023941288236528635
1940,0.00024696404580026865
1941,0.0002414743066765368
1942,0.0002737231843639165
1943,0.0002896621881518513
1944,0.0003081562463194132
1945,0.00031928825774230063
1946,0.00030738653731532395
1947,0.0003064666816499084
1948,0.00029779583564959466
1949,0.0002746173704508692
1950,0.00029009708669036627
1951,0.0002870000316761434
1952,0.0002830010198522359
1953,0.0002803849638439715
1954,0.00027672393480315804
1955,0.0002817230124492198
1956,0.00029191296198405325
1957,0.00027134447009302676
1958,0.0002840156957972795
1959,0.0002792932209558785
1960,0.000296608341159299
1961,0.0003020409494638443
1962,0.0003031761443708092
1963,0.000302414147881791
1964,0.0002987195912282914
1965,0.0003044579643756151
1966,0.0003097263106610626
1967,0.0003060776798520237
1968,0.00031091400887817144
1969,0.0003038333379663527
1970,0.0003030800144188106
1971,0.0002854310441762209
1972,0.00028360055875964463
1973,0.00028506576200015843
1974,0.00029132337658666074
1975,0.00028026121435686946
1976,0.0002694969589356333
1977,0.0002678272721823305
1978,0.0002673078270163387
1979,0.00026657688431441784
1980,0.0002773407904896885
1981,0.0002750376588664949
1982,0.00027525448240339756
1983,0.0002776459150481969
1984,0.00027494278037920594
1985,0.00026894346228800714
1986,0.0002824662660714239
1987,0.00027929351199418306
1988,0.0002830105077009648
1989,0.00027949485229328275
1990,0.00029085681308060884
1991,0.00029227975755929947
1992,0.00029474933398887515
1993,0.00029210836510173976
1994,0.0002935647207777947
1995,0.00029279160662554204
1996,0.0003060821909457445
1997,0.00030843119020573795
1998,0.0003171121352352202
1999,0.0003261233796365559
2000,0.00033662765054032207
2001,0.0003363437717780471
2002,0.0003545608778949827
2003,0.00036046598688699305
2004,0.00037015017005614936
2005,0.0003748710732907057
2006,0.0003796482633333653
2007,0.00039155615377239883
2008,0.0003977103333454579
2009,0.00041113499901257455
2010,0.00040862796595320106
2011,0.0004005957453045994
2012,0.0003748802118934691
2013,0.0004022343782708049
2014,0.00041302634053863585
2015,0.00042659000610001385
2016,0.00042783169192261994
2017,0.0004119786317460239
2018,0.0004194496141280979
2019,0.00042861493420787156
