,course
1945,0.00029581572744064033
1946,0.0003042614262085408
1947,0.0003005174221470952
1948,0.0003038649447262287
1949,0.0002877554506994784
1950,0.0002917662786785513
1951,0.0002967580803669989
1952,0.0002949516347143799
1953,0.00028869271045550704
1954,0.0002928751928266138
1955,0.0002985400496982038
1956,0.00029491467284969985
1957,0.00029276247369125485
1958,0.00029620499117299914
1959,0.0002875922655221075
1960,0.0002860143140424043
1961,0.000284848123556003
1962,0.0002810602600220591
1963,0.00027862159186042845
1964,0.0002738098264671862
1965,0.0002690052497200668
1966,0.0002745194360613823
1967,0.0002694600843824446
1968,0.0002721550699789077
1969,0.0002701184421312064
1970,0.00026302909827791154
1971,0.0002602730237413198
1972,0.00025323411682620645
1973,0.00024335480702575296
1974,0.00024454205413348973
1975,0.00024010548077058047
1976,0.00023221071751322597
1977,0.00022563114180229604
1978,0.00022316176909953356
1979,0.00021744112018495798
1980,0.00021754902263637632
1981,0.0002115666284225881
1982,0.00021320985979400575
1983,0.00020750881230924278
1984,0.00020806395332328975
1985,0.00020446412963792682
1986,0.00020632588712032884
1987,0.00020233764371369034
1988,0.00020169344497844577
1989,0.0001971836172742769
1990,0.00019760573923122138
1991,0.0001942706003319472
1992,0.00019268124015070498
1993,0.00018909839855041355
1994,0.00018878784612752497
1995,0.00018756843928713351
1996,0.00019301558495499194
1997,0.00019409759261179715
1998,0.00019537840853445232
1999,0.00019795764819718897
2000,0.00020336244779173285
2001,0.00020410804427228868
2002,0.00020718976156786084
2003,0.00020635724649764597
2004,0.00021120662859175354
2005,0.00021141942124813795
2006,0.00021419432596303523
2007,0.0002177776477765292
2008,0.00022732166689820588
2009,0.0002350503345951438
2010,0.0002384489926043898
2011,0.0002432310429867357
2012,0.00023325698566623032
2013,0.00024094937543850392
2014,0.00025053939316421747
2015,0.0002438704832457006
2016,0.00024129037046805024
2017,0.0002439992385916412
2018,0.00024279957870021462
2019,0.00024087315250653774
