,office
1902,0.00018272397574037313
1903,0.00020020823285449296
1904,0.00019244167197030038
1905,0.00019999819051008672
1906,0.00020962547569070011
1907,0.00021368074521888047
1908,0.00019987129780929536
1909,0.000218025321373716
1910,0.00020559068070724607
1911,0.00021601066691800952
1912,0.00021543102047871798
1913,0.00022910044935997576
1914,0.00021681647922378033
1915,0.00022510501730721444
1916,0.0002189216756960377
1917,0.00021855771774426103
1918,0.0002143738529412076
1919,0.00022509443806484342
1920,0.00021000226843170822
1921,0.0002077084209304303
1922,0.00020848956773988903
1923,0.00021436429233290255
1924,0.0002217919536633417
1925,0.0002183201868319884
1926,0.00020957228844054043
1927,0.00021617555466946214
1928,0.00020202268206048757
1929,0.00021492641826625913
1930,0.00021511976956389844
1931,0.00022205940331332386
1932,0.00020359527843538672
1933,0.00020375459280330688
1934,0.00019669844186864793
1935,0.00020654160471167415
1936,0.00021073325478937477
1937,0.0002152695378754288
1938,0.00021721201483160257
1939,0.0002371203590882942
1940,0.0002258626336697489
1941,0.0002310934360139072
1942,0.00021638073667418212
1943,0.00022214101045392454
1944,0.00021153819398023188
1945,0.00021447849576361477
1946,0.00021524350449908525
1947,0.00020890013547614217
1948,0.0002013931080000475
1949,0.0002037267986452207
1950,0.000191540559171699
1951,0.00019875969155691564
1952,0.00019487467943690717
1953,0.0001923737581819296
1954,0.00019661929400172085
1955,0.00018778089724946767
1956,0.00018243577505927533
1957,0.00018430328054819256
1958,0.00016899513138923794
1959,0.00017981816199608147
1960,0.0001666729076532647
1961,0.00016486916865687817
1962,0.0001627894234843552
1963,0.00016261237033177167
1964,0.00016125653928611428
1965,0.0001590159663464874
1966,0.0001501137448940426
1967,0.0001594891509739682
1968,0.00014972906501498073
1969,0.00015328680456150323
1970,0.0001503918319940567
1971,0.00015421192802023143
1972,0.0001484784297645092
1973,0.00015869869093876332
1974,0.0001544384576845914
1975,0.00014719943283125758
1976,0.0001463979424443096
1977,0.00014794219168834388
1978,0.0001428548275725916
1979,0.000138128234539181
1980,0.00013803568435832858
1981,0.00014333830040413886
1982,0.0001344079792033881
1983,0.00013295032840687782
1984,0.00013408050290308893
1985,0.00013178805238567293
1986,0.00013201228284742683
1987,0.00013034834410063922
1988,0.000131802968098782
1989,0.00013069791020825505
1990,0.0001292883389396593
1991,0.00012925741611979902
1992,0.00013078574556857347
1993,0.00013033564027864486
1994,0.00012869553756900132
1995,0.00012937505380250514
1996,0.00012854434316977859
1997,0.00013473948638420552
1998,0.00012719511869363487
1999,0.00013060984201729298
2000,0.0001296443078899756
2001,0.00012778585369233042
2002,0.00012263139069546014
2003,0.0001219689947902225
2004,0.00012155882723163813
2005,0.00012005744792986661
2006,0.00011761928908526897
2007,0.00011807578266598284
2008,0.00012090938253095374
2009,0.00012005194002995268
2010,0.0001185825967695564
2011,0.00011912504123756662
2012,0.00010758365533547476
2013,0.00010394459968665615
2014,0.0001186447698273696
2015,0.00011422574607422575
2016,0.00010848593228729442
2017,0.00010569005826255307
2018,0.00010224885772913694
2019,0.00010672561620594934
