,say
1998,0.0002145149774150923
1999,0.00022072528372518718
2000,0.00023566783056594431
2001,0.00023482237884309143
2002,0.00024086367920972407
2003,0.00024978211149573326
2004,0.0002608790236990899
2005,0.00026511080795899034
2006,0.0002788510173559189
2007,0.000287519593257457
2008,0.0003132214769721031
2009,0.0003388664626982063
2010,0.0003432091325521469
2011,0.00036023612483404577
2012,0.00033998957951553166
2013,0.0003476495621725917
2014,0.0003975662402808666
2015,0.0003892024978995323
2016,0.0003638346679508686
2017,0.0004174809728283435
2018,0.0004400882753543556
2019,0.00041371991392225027
