,show
1968,0.00017429509898647666
1969,0.00017546738672535866
1970,0.00017329472757410258
1971,0.00016868329839780927
1972,0.0001728849165374413
1973,0.00016455171862617135
1974,0.0001666903990553692
1975,0.0001641913113417104
1976,0.00016345205949619412
1977,0.00016205836436711252
1978,0.00016119801148306578
1979,0.00016188641893677413
1980,0.00016455275181215256
1981,0.00016368701471947134
1982,0.0001640307018533349
1983,0.00016518673510290682
1984,0.00016469655383843929
1985,0.00016298730042763054
1986,0.0001661839778535068
1987,0.00016764797328505665
1988,0.00016508431872352958
1989,0.00016321963630616665
1990,0.00016402089386247098
1991,0.0001651241327635944
1992,0.00016506623069290072
1993,0.00016434007557108998
1994,0.00016315829998347908
1995,0.0001620359835214913
1996,0.00016534731548745185
1997,0.00016681394481565803
1998,0.00017062030383385718
1999,0.0001697690604487434
2000,0.000171420892002061
2001,0.00017288561502937227
2002,0.00017291505355387926
2003,0.0001803870254661888
2004,0.00018080495647154748
2005,0.0001812517293728888
2006,0.00018183476640842855
2007,0.00018211397400591522
2008,0.00018178696336690336
2009,0.00018468602502252907
2010,0.00018494707182981074
2011,0.0001849187829066068
2012,0.00019393784168642014
2013,0.00018891932268161327
2014,0.0001832693233154714
2015,0.00018251786241307855
2016,0.00018101153546012938
2017,0.00017718647723086178
2018,0.00017305853543803096
2019,0.00017884408589452505
