,three
1994,0.00041747617069631815
1995,0.00041070199222303927
1996,0.00041660244460217655
1997,0.0004196447553113103
1998,0.0004200896364636719
1999,0.0004194669018033892
2000,0.00041908599087037146
2001,0.00042068478069268167
2002,0.00041320096352137625
2003,0.00041868779226206243
2004,0.000424287369241938
2005,0.00042308642878197134
2006,0.0004232594510540366
2007,0.00042298276093788445
2008,0.0004237784305587411
2009,0.00042192023829557
2010,0.00042554037645459175
2011,0.00042392718023620546
2012,0.0004185032157693058
2013,0.00041613983921706676
2014,0.00040974156581796706
2015,0.0004073950694873929
2016,0.00040408861241303384
2017,0.0004039433551952243
2018,0.0003911667736247182
2019,0.0004097720084246248
